# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:53:00 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-09-02 00:00:00 PDT,+0-0i,+0-0i,+1.00646e+06+150805i,+0+0j,+0+0j,+0+0j,+998624+143823i,+0-0i,+87723+30706.2i,+908094+108503i,+62152.6+30624.9i,+0-0i,+395580-51508.6i,+41491.1+20757.1i,+20576+9781.09i,+0+0j,+0+0j,+54013+19127.6i,+124200+59104.9i,+41378.5+19092.7i,+0-0i,+124125+58957i,+0-0i,+124078+58815.8i,+41340.6+18973.5i,+82675.4+39678.7i,+41331.8+18949.8i,+0-0i,+41323.5+18930.4i,+41325+20678.2i,+7.10064e-06+2.71471e-06i,+7.11926e-06+2.74034e-06i,+0+0j,+0+0j,+41510.9+20795.4i,+161313-145980i,+41483.1+20755.4i,+0-0i,+0+0j,+0-0i,+161222-146160i,+0-0i,+157230-146340i,+25560.6+9478.02i,+131586-155986i,+4800.29+0.293732i,+72947.7+52120.8i,+21930.1-232511i,+6212.27-232814i,+6109.4-233127i,-476.552-233424i,+488463+151915i,+474567+150711i,+20644.3+10325.3i,+467384+417179i,+1.66759e-08+1.09411e-08i,+0-0i,+465396+413861i,+0+0j,+1.09405e-05-3.04592e-06i,+52791.2+61.9722i,+218458+87875.3i,+120921+268657i,+46588.8+39.2757i,+26424.8+14.9497i,+22515.6+5.69146i,+0-0i,+218077+87599.4i,+0+0j,+0+0j,+57279.5-195626i,+58421.3+230021i,+57165.2-195894i,+43238.3+21632.6i,+13895.2-217598i,+13782.4-218045i,+13645.6-218514i,+0-0i,+67.6705-218741i,+0+0j,+57607.7+228656i,+20163-52633.3i,+36914.2+280404i,+0-0i,+36498.3+279625i,+0-0i,+36173.6+279030i,+35907.5+278421i,+4.92232e-06-8.02957e-06i,+0-0i,+20139.1+3.27929i,+2.34621e-06-8.11794e-06i,+2.33166e-06-8.11744e-06i,+2.31686e-06-8.09782e-06i,+0-0i,+100558+267660i,+0+0j,+0+0j,+0-0i,+100420+267062i,+0+0j,+99205.5+30919.2i,+1093.45+235449i,+75267.1+30718.1i,+8941.89+1.91653i,+66243.8+30633.8i,+45208.5+21191.9i,+2880.11+0.112818i,+215544-132173i,+1.02857e+06+160495i,+509108+154542i,+393496+358987i,+100675+268151i
2016-09-02 11:00:00 PDT,-0+0i,-0+0i,+695131-355711i,+0+0j,+0+0j,+0+0j,+689587-360311i,-0+0i,+62487.6+417.771i,+625183-363774i,+52262.1+381.844i,-0+0i,+258967-335734i,+42563.9+21293.8i,+9650.68-20960.1i,+0+0j,+0+0j,+31593.6-42594.8i,+81453.8-63290.2i,+18965.4-42623.4i,-0+0i,+81424.1-63376.5i,-0+0i,+81392.4-63464.4i,+18898.5-42691.2i,+62457.6-20869.1i,+18888.9-42717.4i,-0+0i,+18880.6-42736.9i,+43567.7+21801.5i,-5.62347e-06-7.3038e-06i,-5.62883e-06-7.27148e-06i,+0+0j,+0+0j,+43490+21800i,+95874.1-252339i,+43460.3+21744.7i,-0+0i,+0+0j,-0+0i,+95699.9-252660i,-0+0i,+92575-252980i,+13274-21419.3i,+79131.3-231839i,+3850.18+0.17955i,+76767.4+54849.8i,-22117.6-249031i,-28665-249329i,-28817.5-249632i,-34690.2-249932i,+360083-33445.4i,+346456-34207.2i,+21462.5+10734.6i,+367501+297738i,+1.84585e-08+1.79374e-08i,-0+0i,+366315+295503i,+0+0j,+3.54451e-08+1.12739e-05i,+15874+4.01631i,+166447-14251.2i,+110703+254533i,+10452+2.05908i,+7360.88+0.892061i,+4410.21+0.20786i,-0+0i,+166161-14343.4i,+0+0j,+0+0j,+59572.6-205261i,+53571.5+296178i,+59409.5-205549i,+45383.1+22705.8i,+13985.1-228328i,+13829.5-228778i,+13665.5-229235i,-0+0i,+77.525-229471i,+0+0j,+52584.9+293945i,+3111.02-54994.2i,+48831.6+347485i,-0+0i,+48312.7+346272i,-0+0i,+47855.3+345372i,+47467.6+344477i,+5.18204e-06-1.29034e-05i,-0+0i,+3089.52+0.196744i,+3.39304e-06-1.80553e-06i,+3.37731e-06-1.809e-06i,+3.37794e-06-1.7859e-06i,-0+0i,+107438+253779i,+0+0j,+0+0j,-0+0i,+107324+253333i,+0+0j,+71596.8+814.406i,+35599.1+251994i,+64817.2+723.664i,+8561.64+1.66455i,+56206.5+672.293i,+46819+22377.8i,+2120.06+0.0578857i,+144291-232798i,+700919-349500i,+363758-31896.5i,+293849+241613i,+107538+254171i
2016-09-02 12:00:00 PDT,-0+0i,-0+0i,+730442-354968i,+0+0j,+0+0j,+0+0j,+723518-359947i,-0+0i,+65271.4+406.091i,+656215-363639i,+52212.6+366.865i,-0+0i,+269403-336088i,+42533.7+21278.7i,+9631.49-20959.9i,+0+0j,+0+0j,+31540.5-42599.3i,+81320.7-63314.3i,+18912.3-42627.9i,-0+0i,+81294.8-63402.3i,-0+0i,+81266.2-63491.4i,+18848.2-42699.1i,+62383.9-20889.1i,+18838.8-42725.7i,-0+0i,+18830.6-42745.2i,+43544.6+21789.8i,-5.5375e-06-7.55848e-06i,-5.55507e-06-7.57188e-06i,+0+0j,+0+0j,+43453.6+21781.5i,+105070-251945i,+43423.6+21726.4i,-0+0i,+0+0j,-0+0i,+104889-252273i,-0+0i,+100556-252598i,+14441.6-21420.3i,+85941.2-231462i,+5050.31+0.309244i,+76687.1+54792.4i,-15167.4-248587i,-23263.6-248883i,-23415.7-249185i,-30248.3-249480i,+377537-33418.3i,+363873-34246.7i,+21437.1+10721.9i,+378636+297499i,-1.76081e-09-1.39954e-09i,-0+0i,+377405+295206i,+0+0j,+3.47674e-06-1.55831e-05i,+24090+10.1781i,+165930-14137.3i,+113553+254039i,+17705.6+5.66441i,+11632.3+2.31054i,+7480.59+0.59908i,-0+0i,+165650-14222.8i,+0+0j,+0+0j,+59498.5-205014i,+53325.1+296064i,+59342.3-205303i,+45325.3+22676.9i,+13976.9-228053i,+13826.6-228507i,+13665-228972i,-0+0i,+77.3398-229208i,+0+0j,+52325.5+293832i,+6091.18-54919i,+45585+347298i,-0+0i,+45066+346091i,-0+0i,+44607.7+345195i,+44219.2+344301i,-2.54277e-06-4.5233e-06i,-0+0i,+6069.14+0.529281i,+1.16159e-05-1.26542e-05i,+1.1611e-05-1.2704e-05i,+1.16002e-05-1.26906e-05i,-0+0i,+107308+253285i,+0+0j,+0+0j,-0+0i,+107193+252837i,+0+0j,+75916.9+795.999i,+31151.8+251515i,+66146.1+693.837i,+9041.84+1.85942i,+57053.1+640.134i,+47708.6+22343.6i,+3080.12+0.122381i,+154902-233253i,+739249-348206i,+384220-31707.4i,+304429+241270i,+107408+253673i
2016-09-02 13:00:00 PDT,-0+0i,-0+0i,+767729-354169i,+0+0j,+0+0j,+0+0j,+759673-359566i,-0+0i,+68326.9+394.908i,+689199-363517i,+52164.4+351.898i,-0+0i,+280450-336464i,+42505.8+21264.8i,+9611.29-20960.9i,+0+0j,+0+0j,+31905.5-42606.6i,+81187.9-63342.8i,+18857.1-42635.4i,-0+0i,+81165.6-63432.2i,-0+0i,+81140-63522.6i,+18795.9-42710.1i,+62312.1-20910.1i,+18786.7-42736.9i,-0+0i,+18778.5-42756.4i,+43525.5+21780i,+7.59129e-06-1.58591e-06i,+7.56943e-06-1.56562e-06i,+0+0j,+0+0j,+43421.8+21765.3i,+114335-251507i,+43391.5+21710.3i,-0+0i,+0+0j,-0+0i,+114147-251842i,-0+0i,+108848-252176i,+15398.7-21423i,+93272.3-231042i,+6040.44+0.442786i,+76615.6+54741.4i,-7704.07-248106i,-17551.3-248400i,-17702.7-248701i,-25415-248993i,+396285-33429.9i,+382143-34331.7i,+21414+10710.3i,+390646+297488i,+8.22158e-09+5.87587e-10i,-0+0i,+389368+295136i,+0+0j,-1.0076e-07-5.06876e-06i,+32158.8+19.073i,+166044-13771.6i,+116208+253519i,+24900.9+11.0195i,+15784.3+4.37701i,+10671.2+1.22104i,-0+0i,+165767-13851.7i,+0+0j,+0+0j,+59883.2-204792i,+53250.6+296235i,+59733.1-205081i,+45273.7+22651i,+14420.5-227806i,+14274.8-228265i,+14115-228737i,-0+0i,+77.1678-228974i,+0+0j,+52236.2+294000i,+9131.47-54850.5i,+42446.9+347398i,-0+0i,+41927+346194i,-0+0i,+41467.1+345301i,+41077.4+344406i,-1.078e-05+5.60588e-06i,-0+0i,+9108.87+0.964398i,+3.84268e-06+2.096e-06i,+3.8382e-06+2.08711e-06i,+3.83647e-06+2.08375e-06i,-0+0i,+106922+252764i,+0+0j,+0+0j,-0+0i,+106806+252314i,+0+0j,+80374.5+779.76i,+26311.9+251008i,+67431.3+665.11i,+9672.1+2.13071i,+57706+609.027i,+48405.2+22312.6i,+3840.19+0.19051i,+165711-233734i,+779546-346797i,+406020-31540.3i,+315300+241156i,+107022+253149i
2016-09-02 14:00:00 PDT,-0+0i,-0+0i,+845369-352514i,+0+0j,+0+0j,+0+0j,+835642-358847i,-0+0i,+75296.9+375.806i,+757960-363385i,+52075.3+323.52i,-0+0i,+302421-337322i,+42457+21240.3i,+9571.04-20964.7i,+0+0j,+0+0j,+32218.9-42628.3i,+80944.1-63405.9i,+18750.2-42657.4i,-0+0i,+80929.5-63498.6i,-0+0i,+80910.4-63591.6i,+18694.8-42739.2i,+62187.7-20951.7i,+18685.9-42766.5i,-0+0i,+18677.6-42785.9i,+43503+21768.3i,-9.73879e-08+1.24868e-07i,-1.02213e-07+1.25824e-07i,+0+0j,+0+0j,+43373.4+21740.7i,+132692-250479i,+43342.8+21685.9i,-0+0i,+0+0j,-0+0i,+132493-250832i,-0+0i,+125872-251183i,+16675.2-21432.2i,+109013-230054i,+7380.65+0.662012i,+76501.2+54659.7i,+8266.7-247011i,-5529.61-247304i,-5679.15-247606i,-14550.7-247893i,+435544-33589.2i,+420883-34653.2i,+21374.2+10690.3i,+415728+298254i,-1.25147e-08-7.68225e-09i,-0+0i,+414358+295782i,+0+0j,+1.08945e-05+3.97316e-06i,+49427.8+48.4004i,+167078-12165.5i,+121575+252358i,+41009+29.3365i,+24641.1+11.279i,+18213.5+3.56726i,-0+0i,+166808-12236.4i,+0+0j,+0+0j,+60214.9-204428i,+54337.5+297552i,+60079.1-204717i,+45187.3+22607.8i,+14855.4-227400i,+14720.7-227869i,+14564.9-228356i,-0+0i,+76.9843-228594i,+0+0j,+53287.6+295300i,+16372.7-54729.7i,+36235.3+348569i,-0+0i,+35711.7+347368i,-0+0i,+35246.9+346477i,+34853.6+345577i,-6.82899e-06-1.14609e-05i,-0+0i,+16348.6+2.45968i,-1.66558e-06-9.87972e-06i,-1.68048e-06-9.8712e-06i,-1.67659e-06-9.86106e-06i,-0+0i,+105044+251605i,+0+0j,+0+0j,-0+0i,+104924+251150i,+0+0j,+89379.5+752.143i,+15435.4+249870i,+69049.3+610.069i,+10442.5+2.48974i,+58550.9+550.871i,+49335.7+22259i,+4880.3+0.308458i,+187626-234804i,+864311-343756i,+452539-31290.5i,+339046+241708i,+105145+251980i
2016-09-02 15:00:00 PDT,-0+0i,-0+0i,+989041-348357i,+0+0j,+0+0j,+0+0j,+976848-356623i,-0+0i,+88189.8+337.874i,+885743-362383i,+51888.8+265.984i,-0+0i,+343250-338846i,+42348.6+21186.1i,+9493.12-20967.8i,+0+0j,+0+0j,+34528.8-42653.5i,+80434.2-63511.8i,+18538.4-42684.2i,-0+0i,+80432.8-63610.1i,-0+0i,+80424.6-63707.8i,+18493.9-42778.5i,+61909.4-21031.1i,+18485.4-42806.5i,-0+0i,+18477.1-42826i,+43427.1+21729.6i,-2.32067e-06-7.36792e-06i,-2.32188e-06-7.36371e-06i,+0+0j,+0+0j,+43252.2+21679.4i,+165203-248567i,+43221.1+21625i,-0+0i,+0+0j,-0+0i,+164977-248957i,-0+0i,+156619-249344i,+18441.6-21441.8i,+137978-228235i,+9271.03+1.0481i,+76230.9+54466.6i,+37724.4-244969i,+16365.2-245265i,+16217-245569i,+5303.2-245850i,+509341-33463.4i,+491861-34873.8i,+21284+10645.1i,+461313+298802i,+1.03739e-08-4.23158e-09i,-0+0i,+459761+296076i,+0+0j,+6.32534e-06-9.38313e-06i,+78978.7+130.443i,+168906-10155i,+130572+250199i,+68550.5+81.5393i,+39650.4+30.8198i,+31500.6+10.7365i,-0+0i,+168648-10208.2i,+0+0j,+0+0j,+62663.7-203531i,+54472.7+298759i,+62549.5-203818i,+44981.7+22504.9i,+17534.9-226402i,+17417-226883i,+17266-227395i,-0+0i,+76.5124-227634i,+0+0j,+53368.4+296494i,+28876.6-54458.2i,+23778.2+349487i,-0+0i,+23249.8+348296i,-0+0i,+22777.6+347411i,+22379.7+346504i,+1.6096e-06-6.30471e-06i,-0+0i,+28849.7+6.58662i,+1.38902e-06-2.2243e-06i,+1.38713e-06-2.22473e-06i,+1.37057e-06-2.21366e-06i,-0+0i,+101532+249451i,+0+0j,+0+0j,-0+0i,+101406+248991i,+0+0j,+105736+697.512i,-4421.26+247768i,+72128.4+497.737i,+12603.6+3.64671i,+59463.4+431.881i,+50414.6+22139.7i,+6200.49+0.500664i,+226655-236769i,+1.02022e+06-336733i,+538879-30290.8i,+379553+241778i,+101634+249808i
2016-09-02 16:00:00 PDT,-0+0i,-0+0i,+1.09929e+06-343332i,+0+0j,+0+0j,+0+0j,+1.08436e+06-353224i,-0+0i,+96138.2+293.157i,+984708-359992i,+51683.6+207.46i,-0+0i,+376323-339853i,+42211.5+21117.5i,+9425.26-20957.5i,+0+0j,+0+0j,+38535-42628i,+79879.1-63556.9i,+18341.6-42661.8i,-0+0i,+79886.1-63658.8i,-0+0i,+79884.9-63759.3i,+18305.8-42764.9i,+61562.3-21097.9i,+18297.8-42793.7i,-0+0i,+18289.6-42813.1i,+43268.8+21650i,+3.57318e-06-8.94519e-06i,+3.55468e-06-8.90904e-06i,+0+0j,+0+0j,+43059.2+21582i,+190666-247495i,+43027.5+21528.2i,-0+0i,+0+0j,-0+0i,+190405-247917i,-0+0i,+180110-248335i,+20527.9-21424.6i,+159359-227266i,+11471.6+1.61293i,+75829.7+54179.8i,+59711-243730i,+32520.6-244026i,+32368.3-244329i,+18806.8-244602i,+567420-32126.8i,+545321-33855.7i,+21160.6+10583.1i,+494605+295321i,-9.32295e-09-4.15312e-09i,-0+0i,+492848+292340i,+0+0j,+1.54832e-05+5.46965e-06i,+99295.9+208.67i,+167324-12918.3i,+137009+248785i,+86299.1+130.829i,+50129.2+49.8577i,+40067.3+17.5089i,-0+0i,+167080-12950.6i,+0+0j,+0+0j,+66837.4-202151i,+49430.7+294545i,+66733.4-202437i,+44676.4+22352.2i,+22025.6-224869i,+21916.5-225354i,+21767.2-225879i,-0+0i,+75.3248-226117i,+0+0j,+48320.7+292333i,+36119.8-54094.4i,+11485.1+345000i,-0+0i,+10963.9+343839i,-0+0i,+10494.7+342977i,+10101.7+342087i,-1.96945e-06-1.4237e-05i,-0+0i,+36091.3+9.62199i,-2.22546e-07+1.05164e-06i,-2.39498e-07+1.07462e-06i,-2.47269e-07+1.08436e-06i,-0+0i,+100730+248057i,+0+0j,+0+0j,-0+0i,+100604+247600i,+0+0j,+118425+631.999i,-17898.6+246449i,+76326+379.71i,+15825.7+5.79175i,+60431.1+303.756i,+51533+21980.5i,+7640.76+0.765898i,+256163-238212i,+1.13659e+06-329377i,+604026-28183.8i,+404785+237734i,+100828+248393i
2016-09-02 17:00:00 PDT,-0+0i,-0+0i,+1.24093e+06-336721i,+0+0j,+0+0j,+0+0j,+1.22303e+06-348990i,-0+0i,+107859+255.355i,+1.11096e+06-357263i,+51481.8+147.198i,-0+0i,+417036-340937i,+42088.5+21056i,+9346.64-20956i,+0+0j,+0+0j,+41259.2-42637.4i,+79329.5-63646.6i,+18123.4-42673.6i,-0+0i,+79348.9-63754i,-0+0i,+79358-63859i,+18098.3-42789.1i,+61249.4-21176.1i,+18090.7-42818.6i,-0+0i,+18082.5-42838.1i,+43164.7+21597.2i,+3.36923e-06-4.86444e-06i,+3.35217e-06-4.87861e-06i,+0+0j,+0+0j,+42910.3+21506.7i,+223163-245531i,+42878+21453.4i,-0+0i,+0+0j,-0+0i,+222860-246007i,-0+0i,+210551-246479i,+22580.9-21425.2i,+187719-225451i,+13652.3+2.29383i,+75506.3+53948.7i,+88615.9-241680i,+53915.4-241990i,+53759.9-242302i,+37828.9-242576i,+640512-31308.1i,+615086-33475.1i,+21056.1+10530.6i,+538974+295094i,-2.53231e-09+3.0534e-09i,-0+0i,+537003+291804i,+0+0j,+1.67868e-05+1.06455e-05i,+128100+354.651i,+168023-11996.8i,+145784+246690i,+112761+224.364i,+64904.2+85.2725i,+52850.3+30.6799i,-0+0i,+167792-12008.9i,+0+0j,+0+0j,+69700.1-201075i,+48051.3+294435i,+69615.9-201359i,+44432.3+22230.1i,+25155.5-223671i,+25062.2-224168i,+24918.3-224716i,-0+0i,+74.6719-224955i,+0+0j,+46897.1+292225i,+47756.6-53779.6i,-1602.33+344583i,-0+0i,-2129.34+343431i,-0+0i,-2606.74+342574i,-3003.75+341678i,-9.14384e-06-1.46441e-05i,-0+0i,+47725+16.1941i,-1.23029e-09-8.83929e-06i,-1.38519e-08-8.8652e-06i,-1.27163e-08-8.84763e-06i,-0+0i,+97865.2+245967i,+0+0j,+0+0j,-0+0i,+97735.6+245506i,+0+0j,+134561+591.314i,-36886.7+244399i,+79917.9+263.751i,+18337.7+7.82568i,+61503.8+178.524i,+52776.5+21843.9i,+9161.09+1.10809i,+294678-239844i,+1.28918e+06-319253i,+688739-26250.6i,+443182+236852i,+97963.2+246284i
2016-09-02 18:00:00 PDT,-0+0i,-0+0i,+1.32548e+06-332247i,+0+0j,+0+0j,+0+0j,+1.30666e+06-346084i,-0+0i,+115155+234.842i,+1.18685e+06-355367i,+51363.5+111.369i,-0+0i,+441856-341486i,+42019.1+21021.3i,+9297.92-20957i,+0+0j,+0+0j,+44905.6-42644.6i,+78992.3-63706.6i,+17986.5-42684.1i,-0+0i,+79017.7-63816.7i,-0+0i,+79031.8-63924i,+17967.9-42806.3i,+61056.5-21225.2i,+17960.5-42836i,-0+0i,+17952.2-42855.5i,+43102.9+21565.9i,+4.36357e-07-3.99479e-06i,+4.3487e-07-3.99008e-06i,+0+0j,+0+0j,+42826.7+21464.6i,+241014-244258i,+42794.1+21411.4i,-0+0i,+0+0j,-0+0i,+240687-244770i,-0+0i,+228015-245277i,+23113.4-21428.6i,+204634-224272i,+14262.5+2.50915i,+75328+53821.3i,+105841-240372i,+66466.9-240695i,+66309.1-241017i,+49091.4-241296i,+685126-30843.2i,+655587-33304.4i,+20999.3+10502i,+565650+295440i,-1.24868e-08+3.13039e-09i,-0+0i,+563565+291958i,+0+0j,-5.16991e-06-4.14642e-07i,+142315+441.26i,+169900-10942.3i,+149801+245409i,+125756+279.975i,+71955+106.425i,+59548.6+39.0927i,-0+0i,+169671-10945.9i,+0+0j,+0+0j,+73609.5-200478i,+46484.1+294937i,+73531.1-200760i,+44300.9+22164.3i,+29203-223008i,+29115.1-223509i,+28971-224069i,-0+0i,+74.3884-224310i,+0+0j,+45302.9+292718i,+53670.8-53610i,-9128.53+344904i,-0+0i,-9661.12+343750i,-0+0i,-10145.2+342892i,-10546.1+341988i,-3.82572e-06+3.073e-06i,-0+0i,+53637.7+20.0333i,+2.38298e-06-9.83453e-06i,+2.38504e-06-9.79091e-06i,+2.36209e-06-9.81074e-06i,-0+0i,+95965.6+244688i,+0+0j,+0+0j,-0+0i,+95834+244223i,+0+0j,+143905+574.325i,-48123.3+243133i,+82223.7+198.57i,+20689.9+9.99602i,+61452.7+106.368i,+52828.1+21769.9i,+9361.15+1.16098i,+316162-240746i,+1.37937e+06-312489i,+739297-25052i,+463366+236800i,+96063.3+244995i
2016-09-02 19:00:00 PDT,-0+0i,-0+0i,+1.38276e+06-328270i,+0+0j,+0+0j,+0+0j,+1.36234e+06-343245i,-0+0i,+118577+214.623i,+1.23875e+06-353243i,+51267.6+83.5219i,-0+0i,+460512-341484i,+41958.2+20990.8i,+9263.04-20954.3i,+0+0j,+0+0j,+48582.7-42636.5i,+78708.4-63739.3i,+17880.1-42679.6i,-0+0i,+78737-63850.8i,-0+0i,+78753.8-63959.2i,+17866.3-42805.9i,+60882-21261.5i,+17859.2-42836.2i,-0+0i,+17850.9-42855.7i,+43030.3+21529.4i,-8.16597e-06-1.83699e-06i,-8.15978e-06-1.80538e-06i,+0+0j,+0+0j,+42740.3+21420.8i,+254467-243488i,+42707.2+21367.9i,-0+0i,+0+0j,-0+0i,+254117-244031i,-0+0i,+240279-244570i,+24462.9-21424.1i,+215532-223592i,+15673+3.03696i,+75151+53694.9i,+117021-239574i,+74691.1-239908i,+74528.8-240236i,+55383.9-240520i,+715813-30165.7i,+682191-32851.3i,+20948.3+10476.3i,+583552+294714i,-1.06585e-08+1.12548e-08i,-0+0i,+581382+291077i,+0+0j,+4.69318e-06-1.11414e-05i,+150808+494.037i,+169783-11340.7i,+152492+244640i,+132398+312.43i,+76307.9+119.507i,+62753+43.5506i,-0+0i,+169557-11336.6i,+0+0j,+0+0j,+77541.3-199912i,+42794.6+293977i,+77462.8-200197i,+44178.9+22103.3i,+33256.4-222385i,+33169.1-222889i,+33023.5-223456i,-0+0i,+73.9976-223698i,+0+0j,+41604.4+291764i,+55942.6-53462.2i,-15103.8+343808i,-0+0i,-15638.3+342656i,-0+0i,-16125.5+341798i,-16528.1+340893i,+5.09826e-07-5.99761e-07i,-0+0i,+55908.7+21.9238i,-3.97745e-06-5.64591e-06i,-3.97842e-06-5.62753e-06i,-3.97862e-06-5.62342e-06i,-0+0i,+96386.9+243916i,+0+0j,+0+0j,-0+0i,+96255.3+243447i,+0+0j,+150596+562.548i,-54389.8+242366i,+85528.7+149.888i,+23362.6+12.7853i,+62078.1+47.8851i,+53532.8+21703.2i,+10201.4+1.38311i,+331342-241043i,+1.43813e+06-306937i,+772096-23853.1i,+474473+235742i,+96483.5+244220i
2016-09-02 20:00:00 PDT,-0+0i,-0+0i,+1.29599e+06-333100i,+0+0j,+0+0j,+0+0j,+1.2776e+06-346415i,-0+0i,+111031+233.667i,+1.16203e+06-355356i,+51387.4+118.907i,-0+0i,+435609-340921i,+42031.9+21027.7i,+9308.98-20955.9i,+0+0j,+0+0j,+47029.4-42631.6i,+79030-63688i,+18008.4-42673.1i,-0+0i,+79050.9-63795.9i,-0+0i,+79061.4-63901.4i,+17988-42791.5i,+61063.8-21216.3i,+17980.6-42821.3i,-0+0i,+17972.3-42840.8i,+43089.5+21559.5i,+2.22179e-06-4.97208e-06i,+2.20166e-06-4.981e-06i,+0+0j,+0+0j,+42827.3+21464.8i,+234587-244792i,+42794.6+21411.7i,-0+0i,+0+0j,-0+0i,+234266-245294i,-0+0i,+221799-245791i,+23077.8-21424.3i,+198458-224783i,+14212.5+2.49127i,+75340.6+53830.4i,+99629.5-240896i,+61627.5-241215i,+61467.8-241534i,+43850.5-241812i,+671833-30763.2i,+640136-33148i,+21009.6+10507.1i,+556462+294630i,+3.88812e-09+2.46827e-09i,-0+0i,+554423+291199i,+0+0j,+8.88164e-06+1.35684e-07i,+133368+383.205i,+169170-12057i,+147042+245935i,+116478+241.64i,+67491.6+92.8561i,+55293.2+33.6711i,-0+0i,+168935-12065.5i,+0+0j,+0+0j,+75910.6-200531i,+43350.5+293853i,+75819.8-200817i,+44319.9+22173.9i,+31470.2-223074i,+31372.6-223571i,+31222.9-224123i,-0+0i,+74.3613-224364i,+0+0j,+42190.5+291644i,+48877.4-53647.7i,-7433.87+343872i,-0+0i,-7962.62+342718i,-0+0i,-8442.99+341860i,-8842.06+340962i,+1.71431e-06+8.81233e-06i,-0+0i,+48845.5+16.9377i,-5.65417e-06-1.26528e-06i,-5.65897e-06-1.29252e-06i,-5.66424e-06-1.29681e-06i,-0+0i,+98004.3+245212i,+0+0j,+0+0j,-0+0i,+97875.2+244747i,+0+0j,+140700+574.818i,-42884.2+243652i,+83225.8+215.801i,+21841+11.1323i,+61301.8+120.501i,+52655.2+21783.2i,+9161.1+1.11118i,+307677-240096i,+1.34391e+06-314243i,+720821-25226.1i,+450894+236110i,+98100.7+245527i
2016-09-02 21:00:00 PDT,-0+0i,-0+0i,+1.14252e+06-341081i,+0+0j,+0+0j,+0+0j,+1.128e+06-351698i,-0+0i,+99028.8+275.684i,+1.02522e+06-358937i,+51608.9+184.667i,-0+0i,+389481-340048i,+42167.9+21095.8i,+9394.26-20958.5i,+0+0j,+0+0j,+42228.7-42627.5i,+79650-63592.7i,+18252.2-42664.5i,-0+0i,+79658.6-63695.2i,-0+0i,+79658.8-63796.2i,+18219.9-42769.9i,+61422.5-21130i,+18211.8-42798.5i,-0+0i,+18203.6-42818i,+43215.2+21623i,+1.72969e-06-1.03912e-05i,+1.73935e-06-1.03994e-05i,+0+0j,+0+0j,+42998.9+21551.8i,+198746-246880i,+42967.2+21498i,-0+0i,+0+0j,-0+0i,+198476-247315i,-0+0i,+188832-247745i,+20089.3-21425.7i,+168512-226687i,+11081.5+1.50742i,+75707.8+54092.7i,+69070.8-243061i,+38754.7-243362i,+38599.9-243668i,+24554.3-243942i,+592712-31838.6i,+566573-33723.2i,+21123.9+10564.5i,+508117+295272i,-2.1461e-08-3.37364e-08i,-0+0i,+506304+292191i,+0+0j,+4.5927e-06+8.6837e-06i,+104721+234.45i,+168361-12526.6i,+138019+248096i,+91325.8+147.702i,+52926.1+56.839i,+43520.4+20.7027i,-0+0i,+168115-12556.5i,+0+0j,+0+0j,+70808.8-201722i,+46788.9+294527i,+70702.5-202007i,+44586.1+22307i,+26084.3-224395i,+25973.4-224879i,+25820.3-225406i,-0+0i,+75.1908-225645i,+0+0j,+45674.2+292316i,+38340.9-53987.5i,+6613.08+344877i,-0+0i,+6091.19+343717i,-0+0i,+5620.14+342855i,+5226.13+341963i,-9.06023e-06+2.07602e-06i,-0+0i,+38311.8+10.8534i,+2.78117e-06-7.66569e-06i,+2.76581e-06-7.64547e-06i,+2.7683e-06-7.61924e-06i,-0+0i,+99518.4+247371i,+0+0j,+0+0j,-0+0i,+99392.1+246914i,+0+0j,+122942+609.293i,-23625.4+245787i,+77522.8+336.865i,+17777.2+7.32386i,+59674+257.01i,+50839.3+21932.8i,+7040.64+0.651685i,+265804-238567i,+1.18025e+06-326140i,+631081-27539i,+412289+237497i,+99616.8+247703i
