# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:55 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-10-07 00:00:00 PDT,+0-0i,+0-0i,+1.03027e+06+151601i,+0+0j,+0+0j,+0+0j,+1.02139e+06+144263i,+0-0i,+88738.3+30680.7i,+929720+108741i,+62126.2+30597.7i,+0-0i,+403705-51704.5i,+41465.6+20744.4i,+20575.1+9766.67i,+0+0j,+0+0j,+55273.9+19083.6i,+124167+58998.7i,+41378+19047.2i,+0-0i,+124094+58852.4i,+0-0i,+124048+58712.4i,+41341.8+18930i,+82645.8+39619.8i,+41333.3+18906.6i,+0-0i,+41325+18887.1i,+41294.3+20662.8i,+7.93803e-06-2.23297e-06i,+7.92812e-06-2.25963e-06i,+0+0j,+0+0j,+41473.6+20776.4i,+167608-145804i,+41445.5+20736.6i,+0-0i,+0+0j,+0-0i,+167509-145994i,+0-0i,+162629-146183i,+26530.7+9451.33i,+136009-155810i,+5770.42+0.424894i,+72871.3+52066.1i,+26418.2-232232i,+9571.82-232534i,+9467.69-232847i,+1840.04-233143i,+501117+151916i,+485869+150648i,+20623+10314.6i,+474808+416667i,-1.14479e-08+1.37802e-08i,+0-0i,+472793+413296i,+0+0j,-1.45215e-06+5.96175e-06i,+56860.3+71.2724i,+217842+87558.6i,+122414+268326i,+49644.3+44.9108i,+28617+17.2547i,+23826.3+6.38218i,+0-0i,+217461+87289.2i,+0+0j,+0+0j,+58579.6-195395i,+56500.3+229639i,+58466-195665i,+43187.8+21607.4i,+15246.4-217345i,+15133.9-217793i,+14996.4-218265i,+0-0i,+67.5543-218492i,+0+0j,+55683.7+228278i,+21023.2-52572i,+34129+279968i,+0-0i,+33713.1+279191i,+0-0i,+33388+278598i,+33121.6+277991i,+6.39379e-07-5.73177e-06i,+0-0i,+20999+3.73881i,+7.90852e-06-6.10028e-06i,+7.89323e-06-6.07591e-06i,+7.89227e-06-6.055e-06i,+0-0i,+101192+267324i,+0+0j,+0+0j,+0-0i,+101053+266724i,+0+0j,+102150+30870.6i,-1217.25+235158i,+76980.7+30658.3i,+10032.4+2.41584i,+66863.7+30570.1i,+45829.7+21163.2i,+3560.17+0.172631i,+222387-132338i,+1.05265e+06+161771i,+522453+154685i,+398458+358377i,+101309+267817i
2016-10-07 11:00:00 PDT,-0+0i,-0+0i,+920325-351010i,+0+0j,+0+0j,+0+0j,+911506-358305i,-0+0i,+82232.3+363.321i,+826689-363480i,+52010.7+300.928i,-0+0i,+321157-338293i,+42429.8+21226.7i,+9533.7-20973.6i,+0+0j,+0+0j,+32128.6-42663.5i,+80767-63477.5i,+18659.9-42692.5i,-0+0i,+80759.7-63573.4i,-0+0i,+80746.6-63669.1i,+18609.2-42780.4i,+62111.9-20988.9i,+18600.1-42807.4i,-0+0i,+18591.8-42826.8i,+43513.8+21773.2i,+3.31513e-06-1.31424e-05i,+3.2978e-06-1.30902e-05i,+0+0j,+0+0j,+43363+21735.8i,+147814-249309i,+43332.7+21680.9i,-0+0i,+0+0j,-0+0i,+147613-249675i,-0+0i,+142191-250039i,+15423.8-21449.1i,+126582-228907i,+6180.46+0.464416i,+76459.5+54629.9i,+25968.9-245804i,+6568.59-246101i,+6423.36-246407i,-1486.02-246691i,+476701-33965.7i,+461958-35208i,+21349.6+10678i,+440801+300687i,+3.7003e-09-2.8947e-09i,-0+0i,+439340+298101i,+0+0j,+1.88143e-05+1.68101e-05i,+67406.8+98.0515i,+170406-8793.48i,+125633+251079i,+59931.7+62.5541i,+34203.6+23.93i,+28968.9+9.04348i,-0+0i,+170140-8861.61i,+0+0j,+0+0j,+60129.2-204222i,+58085.7+300810i,+60009.7-204505i,+45135.2+22581.7i,+14840.5-227163i,+14717.1-227639i,+14565.1-228141i,-0+0i,+77.0912-228379i,+0+0j,+56999.1+298526i,+25715.4-54648i,+30577.6+351694i,-0+0i,+30048.1+350489i,-0+0i,+29576.5+349595i,+29178.7+348681i,-1.05744e-06+6.54669e-06i,-0+0i,+25689.7+4.76932i,-9.4669e-07-9.72576e-07i,-9.53564e-07-9.39289e-07i,-9.68579e-07-9.04726e-07i,-0+0i,+99749.2+250348i,+0+0j,+0+0j,-0+0i,+99624.6+249893i,+0+0j,+97168.4+730.338i,+2358.4+248640i,+67472.5+562.232i,+9962.24+2.26918i,+57456.7+505.738i,+48314+22227i,+3920.2+0.199297i,+206710-235936i,+945713-340809i,+502314-31196i,+364497+243930i,+99850.3+250701i
2016-10-07 12:00:00 PDT,-0+0i,-0+0i,+918748-351136i,+0+0j,+0+0j,+0+0j,+910159-358416i,-0+0i,+82320.5+365.531i,+825271-363585i,+52018.8+303.014i,-0+0i,+320878-338276i,+42436.2+21230i,+9535.4-20974.8i,+0+0j,+0+0j,+32553.3-42666.4i,+80785-63479.7i,+18664.3-42695.8i,-0+0i,+80777.2-63575.4i,-0+0i,+80763.8-63670.9i,+18613.6-42783.4i,+62124.5-20987.7i,+18604.4-42810.3i,-0+0i,+18596.2-42829.7i,+43522+21777.3i,+1.79288e-07-8.58323e-07i,+1.65861e-07-8.53257e-07i,+0+0j,+0+0j,+43372.9+21740.8i,+147105-249300i,+43342.7+21685.9i,-0+0i,+0+0j,-0+0i,+146906-249666i,-0+0i,+141676-250029i,+15266.8-21451.2i,+126225-228896i,+6020.43+0.440561i,+76480.3+54644.8i,+25585.3-245805i,+6302.88-246102i,+6157.91-246409i,-1711.11-246695i,+475905-34061.8i,+460729-35299.4i,+21356.1+10681.3i,+440527+301002i,+3.23384e-09+6.97158e-09i,-0+0i,+439074+298424i,+0+0j,+5.17813e-06+3.30101e-06i,+66313.4+94.6762i,+171027-8472.01i,+125247+251100i,+58889.5+60.335i,+33542.8+23.0585i,+28498.6+8.74814i,-0+0i,+170758-8542.01i,+0+0j,+0+0j,+60600.6-204295i,+58210.7+301217i,+60479.6-204579i,+45152.3+22590.3i,+15293-227246i,+15168.5-227721i,+15015.5-228222i,-0+0i,+77.1529-228461i,+0+0j,+57122.1+298927i,+25335.3-54667.7i,+31079.3+352110i,-0+0i,+30548.6+350903i,-0+0i,+30076.2+350006i,+29677.5+349090i,-1.20582e-05-6.74506e-07i,-0+0i,+25309.7+4.5855i,-3.44301e-06-5.33062e-06i,-3.43718e-06-5.33592e-06i,-3.45851e-06-5.35204e-06i,-0+0i,+99743.3+250368i,+0+0j,+0+0j,-0+0i,+99618.9+249911i,+0+0j,+96939+734.785i,+2581.5+248652i,+67504+567.534i,+10132.3+2.34641i,+57318.1+510.934i,+48171.2+22235.5i,+3760.18+0.183287i,+205990-235912i,+943998-340959i,+501201-31305.6i,+363640+244269i,+99844.3+250721i
2016-10-07 13:00:00 PDT,-0+0i,-0+0i,+921251-351045i,+0+0j,+0+0j,+0+0j,+912693-358359i,-0+0i,+82586+364.545i,+827527-363550i,+52013.9+301.62i,-0+0i,+321749-338308i,+42432.9+21228.3i,+9533.78-20974.5i,+0+0j,+0+0j,+32968.3-42665.4i,+80770.2-63480.8i,+18659.1-42695i,-0+0i,+80762.4-63576.5i,-0+0i,+80748.9-63672i,+18608.6-42782.7i,+62114.6-20989.4i,+18599.4-42809.6i,-0+0i,+18591.1-42829.1i,+43517.1+21774.9i,-4.05916e-06-2.79229e-06i,-4.114e-06-2.78588e-06i,+0+0j,+0+0j,+43367.9+21738.3i,+147470-249278i,+43337.7+21683.4i,-0+0i,+0+0j,-0+0i,+147270-249644i,-0+0i,+142079-250009i,+15254-21450.8i,+126641-228876i,+6010.43+0.439152i,+76470.6+54638i,+26016.3-245778i,+6621.19-246076i,+6476.1-246383i,-1473.08-246668i,+477285-34036.7i,+461666-35281.2i,+21353.4+10679.9i,+441274+300902i,+4.30794e-09+4.12478e-08i,-0+0i,+439818+298319i,+0+0j,+2.01489e-07+9.96281e-07i,+66263.2+94.3922i,+171165-8551.63i,+125230+251072i,+58769.3+60.0983i,+33462.7+22.9688i,+28458.6+8.72475i,-0+0i,+170896-8621.61i,+0+0j,+0+0j,+61046-204262i,+57918.8+301103i,+60924.2-204546i,+45145.5+22586.9i,+15744.3-227209i,+15619.4-227684i,+15465.9-228185i,-0+0i,+77.1246-228423i,+0+0j,+56830.3+298814i,+25295.3-54660.2i,+30827.5+351991i,-0+0i,+30297.1+350783i,-0+0i,+29824.8+349888i,+29426.2+348972i,+2.86253e-07-2.08913e-06i,-0+0i,+25269.7+4.56156i,+4.23004e-07-1.002e-05i,+4.13887e-07-1.0055e-05i,+4.15064e-07-9.99356e-06i,-0+0i,+99766.5+250339i,+0+0j,+0+0j,-0+0i,+99642.2+249883i,+0+0j,+97200+733.163i,+2343.95+248626i,+67684.1+564.987i,+10362.4+2.45457i,+57267.8+507.98i,+48124.4+22232.1i,+3720.18+0.179435i,+206454-235954i,+946557-340822i,+502569-31266.1i,+363711+244161i,+99867.4+250693i
2016-10-07 14:00:00 PDT,-0+0i,-0+0i,+942106-350423i,+0+0j,+0+0j,+0+0j,+933226-358019i,-0+0i,+84471.1+358.983i,+846096-363390i,+51986.1+293.129i,-0+0i,+327659-338537i,+42416.4+21220i,+9522.55-20974.7i,+0+0j,+0+0j,+33357.8-42668.2i,+80694.6-63495.3i,+18628.3-42698.1i,-0+0i,+80688.7-63591.9i,-0+0i,+80676.8-63688i,+18579.3-42787.6i,+62072.7-21000.9i,+18570.2-42814.6i,-0+0i,+18562-42834.1i,+43504.6+21768.5i,+2.4872e-06-3.71231e-06i,+2.47334e-06-3.75036e-06i,+0+0j,+0+0j,+43348.9+21728.7i,+152115-249004i,+43318.6+21673.8i,-0+0i,+0+0j,-0+0i,+151911-249375i,-0+0i,+146506-249744i,+15476-21451.8i,+130844-228614i,+6250.47+0.475179i,+76428.6+54607.9i,+30293.2-245483i,+9785.81-245781i,+9640.91-246089i,+1411.36-246373i,+488047-34001.7i,+471960-35297.6i,+21339.5+10672.9i,+447845+300930i,-9.00731e-09-3.38533e-09i,-0+0i,+446362+298310i,+0+0j,-6.93677e-06+1.04962e-05i,+70475.8+107.212i,+171419-8312.77i,+126504+250759i,+62707.5+68.3905i,+35595.7+26.0841i,+30379.8+9.95188i,-0+0i,+171152-8380.07i,+0+0j,+0+0j,+61457.5-204120i,+57872+301211i,+61338.8-204404i,+45113.3+22570.8i,+16191.6-227052i,+16069-227528i,+15916-228032i,-0+0i,+77.0483-228271i,+0+0j,+56776.2+298921i,+27095.9-54618.3i,+28968.1+352056i,-0+0i,+28437.1+350850i,-0+0i,+27963.9+349956i,+27564.8+349040i,-7.69867e-06-1.38399e-06i,-0+0i,+27070+5.18737i,-3.13905e-07-4.11228e-06i,-3.19577e-07-4.09591e-06i,-3.35638e-07-4.05832e-06i,-0+0i,+99238.5+250027i,+0+0j,+0+0j,-0+0i,+99113.4+249570i,+0+0j,+99558+724.609i,-540.255+248322i,+68113.7+548.046i,+10692.6+2.61565i,+57366.6+490.138i,+48247.4+22213.7i,+3880.19+0.195367i,+212050-236247i,+969168-339781i,+515138-31101.2i,+369470+244118i,+99339.4+250378i
2016-10-07 15:00:00 PDT,-0+0i,-0+0i,+1.04766e+06-346821i,+0+0j,+0+0j,+0+0j,+1.03727e+06-355941i,-0+0i,+94040.9+330.755i,+940135-362284i,+51840.2+248.979i,-0+0i,+357896-339636i,+42328.6+21176.1i,+9464.58-20974.8i,+0+0j,+0+0j,+36138.9-42678.5i,+80294.7-63566.7i,+18467.3-42710.5i,-0+0i,+80297.7-63667.1i,-0+0i,+80293.2-63766.4i,+18426.5-42808.8i,+61846.3-21059.9i,+18417.6-42836.2i,-0+0i,+18409.4-42855.7i,+43432.1+21731.7i,+4.32526e-06-4.54822e-06i,+4.30946e-06-4.60133e-06i,+0+0j,+0+0j,+43244.8+21676.2i,+175192-247600i,+43214.1+21621.6i,-0+0i,+0+0j,-0+0i,+174968-247999i,-0+0i,+168621-248396i,+16512.9-21455.3i,+151907-227285i,+7380.66+0.664438i,+76202.6+54446.4i,+51748.9-243980i,+25648.4-244282i,+25503.5-244592i,+15750.6-244873i,+542709-33703.4i,+523395-35278.5i,+21265.8+10635.9i,+480914+300877i,+2.54671e-09-1.03274e-08i,-0+0i,+479294+298057i,+0+0j,+1.35813e-05+9.47486e-06i,+90577.1+179.439i,+172838-7341.09i,+132572+249179i,+81333.6+115.063i,+45663+43.591i,+39516.7+16.9205i,-0+0i,+172577-7395.11i,+0+0j,+0+0j,+64410.6-203357i,+56907.3+301467i,+64304.6-203639i,+44941.7+22484.9i,+19331.1-226203i,+19218.8-226686i,+19067.6-227206i,-0+0i,+76.6319-227445i,+0+0j,+55776.8+299175i,+35629.6-54397.4i,+19413+352091i,-0+0i,+18879.3+350894i,-0+0i,+18401.2+350006i,+17999.6+349087i,-5.00734e-06-6.52958e-06i,-0+0i,+35601.7+8.72591i,-4.26368e-06+7.20932e-06i,-4.27198e-06+7.21226e-06i,-4.28079e-06+7.21627e-06i,-0+0i,+96769.5+248453i,+0+0j,+0+0j,-0+0i,+96641+247993i,+0+0j,+111428+683.117i,-14871+246788i,+70569.4+461.077i,+12783.7+3.75525i,+57726.8+397.715i,+48732.6+22116.9i,+4560.27+0.271051i,+239890-237695i,+1.08326e+06-333923i,+578435-30099.1i,+397147+243678i,+96870.8+248790i
2016-10-07 16:00:00 PDT,-0+0i,-0+0i,+1.17078e+06-340773i,+0+0j,+0+0j,+0+0j,+1.15746e+06-351840i,-0+0i,+103648+280.562i,+1.04998e+06-359399i,+51599.6+180.861i,-0+0i,+394175-340771i,+42166.3+21094.9i,+9386.55-20961.4i,+0+0j,+0+0j,+40536.3-42645.4i,+79650.9-63614i,+18241.2-42681i,-0+0i,+79663.4-63718.3i,-0+0i,+79666.8-63820.9i,+18210.2-42789.3i,+61441.4-21135.8i,+18201.9-42817.5i,-0+0i,+18193.6-42837i,+43244.3+21637.3i,-2.92693e-06+2.20821e-06i,-2.94238e-06+2.2514e-06i,+0+0j,+0+0j,+43017.7+21561.7i,+202832-246271i,+42986.5+21507.6i,-0+0i,+0+0j,-0+0i,+202566-246708i,-0+0i,+194265-247141i,+18622.4-21434.2i,+175413-226079i,+9621.12+1.13583i,+75734.3+54111.7i,+75954.9-242464i,+43511.5-242769i,+43360-243078i,+30835.7-243352i,+607016-32159i,+582605-34116.1i,+21122.8+10564.1i,+517119+296991i,+3.04373e-09-2.52049e-08i,-0+0i,+515273+293874i,+0+0j,+1.31676e-05+1.59637e-05i,+112886+279.902i,+170611-10356.3i,+139817+247485i,+100957+179.1i,+56977.2+68.0486i,+48905.8+26.1547i,-0+0i,+170367-10385.5i,+0+0j,+0+0j,+68983.7-201758i,+50930.2+296768i,+68888.9-202037i,+44588.2+22308i,+24270.6-224426i,+24168.4-224912i,+24019.3-225446i,-0+0i,+75.4286-225684i,+0+0j,+49793+294536i,+43904.1-53975.4i,+5151.89+347073i,-0+0i,+4625.46+345908i,-0+0i,+4150.04+345044i,+3753.65+344142i,-9.712e-06-3.35828e-06i,-0+0i,+43873.7+13.6442i,+4.42683e-06-6.32213e-06i,+4.4003e-06-6.34009e-06i,+4.39445e-06-6.29363e-06i,-0+0i,+95745.4+246769i,+0+0j,+0+0j,-0+0i,+95615.5+246313i,+0+0j,+125453+607.282i,-29907.5+245195i,+74943.4+323.62i,+16256+6.12405i,+58620.4+249.707i,+49799.6+21931.8i,+6000.47+0.473322i,+272284-239337i,+1.21437e+06-325048i,+651093-27617.3i,+424541+239142i,+95846.1+247089i
2016-10-07 17:00:00 PDT,-0+0i,-0+0i,+1.28831e+06-334475i,+0+0j,+0+0j,+0+0j,+1.27224e+06-347624i,-0+0i,+112882+245.419i,+1.15489e+06-356501i,+51415.4+126.856i,-0+0i,+429547-341483i,+42050.5+21037i,+9318.35-20957.3i,+0+0j,+0+0j,+44963.7-42640.4i,+79137.3-63682.1i,+18044.7-42680i,-0+0i,+79158.6-63790.4i,-0+0i,+79169.4-63896.1i,+18023-42798i,+61136.1-21204.3i,+18015.1-42826.9i,-0+0i,+18006.9-42846.4i,+43127.2+21578.2i,+1.08869e-05-1.61335e-05i,+1.08896e-05-1.6127e-05i,+0+0j,+0+0j,+42866.3+21485.1i,+229627-244710i,+42834.4+21431.6i,-0+0i,+0+0j,-0+0i,+229320-245195i,-0+0i,+219119-245676i,+20699.1-21429.4i,+198164-224655i,+11811.7+1.71893i,+75415.8+53884.1i,+99220.6-240820i,+60829.7-241138i,+60673.2-241456i,+45418.6-241733i,+668033-31170.6i,+638558-33520.5i,+21024.9+10514.9i,+553554+295870i,-4.95921e-09+8.32786e-09i,-0+0i,+551527+292478i,+0+0j,+5.05114e-06+4.4789e-06i,+133738+393.401i,+170908-10627.8i,+146385+245825i,+119158+251.167i,+67494.3+95.5871i,+57546+36.4426i,-0+0i,+170673-10639.9i,+0+0j,+0+0j,+73683.1-200709i,+47215.4+295462i,+73597.9-200989i,+44356+22191.9i,+29213.2-223263i,+29119.6-223757i,+28971.8-224307i,-0+0i,+74.7088-224547i,+0+0j,+46050.1+293242i,+51549.3-53685.5i,-6252.82+345500i,-0+0i,-6782.62+344345i,-0+0i,-7263.72+343486i,-7662.53+342584i,-9.53625e-06-4.87238e-06i,-0+0i,+51516.7+18.6403i,+1.59122e-06-1.34914e-06i,+1.58952e-06-1.3713e-06i,+1.57404e-06-1.34446e-06i,-0+0i,+94668.9+245110i,+0+0j,+0+0j,-0+0i,+94537.2+244650i,+0+0j,+138931+572.05i,-44451.8+243568i,+79396.2+222.316i,+19708.9+9.05539i,+59611.8+136.734i,+50941.1+21804i,+7400.71+0.724332i,+303664-240556i,+1.33937e+06-315726i,+719849-25659.8i,+452347+237434i,+94768.5+245418i
2016-10-07 18:00:00 PDT,-0+0i,-0+0i,+1.35486e+06-329870i,+0+0j,+0+0j,+0+0j,+1.33626e+06-344310i,-0+0i,+116489+220.959i,+1.21489e+06-353985i,+51304+94.4945i,-0+0i,+452166-341402i,+41979.6+21001.5i,+9277.98-20954.1i,+0+0j,+0+0j,+49462.9-42630.2i,+78802.3-63720.2i,+17919.5-42674.2i,-0+0i,+78827.4-63830i,-0+0i,+78841.3-63937.1i,+17903.6-42797.1i,+60930-21247.1i,+17896.2-42826.9i,-0+0i,+17887.9-42846.4i,+43040.6+21534.8i,-5.41408e-07-6.31723e-06i,-5.2742e-07-6.25521e-06i,+0+0j,+0+0j,+42763.2+21432.7i,+246205-243890i,+42730.6+21379.6i,-0+0i,+0+0j,-0+0i,+245869-244414i,-0+0i,+233626-244933i,+22967.4-21423.5i,+210383-223944i,+14152.4+2.47452i,+75204.9+53733.4i,+111775-239967i,+70328.1-240296i,+70166.4-240621i,+52063.8-240903i,+703122-30350.9i,+668667-32951.6i,+20965.6+10484.9i,+574584+294718i,-2.69572e-09+1.2368e-08i,-0+0i,+572458+291148i,+0+0j,+1.12093e-05-1.86301e-06i,+143291+446.785i,+170477-11463.9i,+149709+245011i,+125959+282.986i,+72377.1+108.556i,+60409.8+40.3062i,-0+0i,+170245-11466.3i,+0+0j,+0+0j,+78498.7-200054i,+42384.9+293977i,+78412.3-200338i,+44215.2+22121.5i,+34168-222544i,+34074.4-223042i,+33924.7-223601i,-0+0i,+74.157-223843i,+0+0j,+41209+291767i,+53450.7-53515.3i,-13000+343863i,-0+0i,-13531.7+342711i,-0+0i,-14016.1+341852i,-14416.9+340950i,-7.99327e-07-2.12636e-06i,-0+0i,+53417.5+20.0819i,-7.44299e-06-5.86822e-06i,-7.45941e-06-5.86089e-06i,-7.45502e-06-5.83141e-06i,-0+0i,+96096.1+244291i,+0+0j,+0+0j,-0+0i,+95965.2+243826i,+0+0j,+146985+560.403i,-51072.8+242749i,+84187.2+167.677i,+23222.5+12.618i,+60879.6+68.7129i,+52301.8+21726.1i,+8921.04+1.05645i,+322008-240832i,+1.40721e+06-309357i,+756730-24269.7i,+464840+235900i,+96193.1+244598i
2016-10-07 19:00:00 PDT,-0+0i,-0+0i,+1.37403e+06-328332i,+0+0j,+0+0j,+0+0j,+1.35452e+06-343161i,-0+0i,+117223+212.039i,+1.23228e+06-353074i,+51266.9+83.9028i,-0+0i,+459084-341295i,+41955.3+20989.4i,+9265.19-20952.5i,+0+0j,+0+0j,+51103.8-42624.3i,+78689.1-63730.1i,+17878.7-42670i,-0+0i,+78715-63840.2i,-0+0i,+78729.6-63947.5i,+17864.5-42794.2i,+60858-21260.7i,+17857.3-42824.4i,-0+0i,+17849-42843.8i,+43007.8+21518.3i,-2.77242e-06-4.57403e-06i,-2.77433e-06-4.53143e-06i,+0+0j,+0+0j,+42726+21413.7i,+251194-243669i,+42693.1+21360.8i,-0+0i,+0+0j,-0+0i,+250846-244205i,-0+0i,+237853-244737i,+23804.1-21420.4i,+213766-223760i,+15012.8+2.78724i,+75130.3+53680i,+115274-239733i,+72988.2-240066i,+72824.3-240393i,+53678.8-240677i,+713360-30037i,+677100-32716.3i,+20945.4+10474.7i,+580571+294173i,-1.35679e-08+9.57737e-09i,-0+0i,+578415+290546i,+0+0j,+1.58888e-05-7.07696e-06i,+145664+459.586i,+170073-11941.8i,+150614+244792i,+127326+290.13i,+73610.2+111.691i,+60900.5+41.013i,-0+0i,+169841-11941i,+0+0j,+0+0j,+80254.8-199824i,+40358.6+293266i,+80166.9-200111i,+44166.6+22097.1i,+35970.9-222293i,+35876.5-222792i,+35725.8-223354i,-0+0i,+73.9564-223596i,+0+0j,+39181.8+291061i,+53580.8-53458.2i,-15157+343103i,-0+0i,-15688.8+341952i,-0+0i,-16173.8+341094i,-16575+340193i,-8.38735e-06-2.35599e-06i,-0+0i,+53547.5+20.3189i,+7.81175e-06-2.95477e-07i,+7.80551e-06-2.92621e-07i,+7.78646e-06-2.95407e-07i,-0+0i,+96873.1+244069i,+0+0j,+0+0j,-0+0i,+96742.7+243602i,+0+0j,+149369+556.71i,-52678.8+242526i,+85948.3+150.685i,+24503.9+14.0666i,+61355.5+46.513i,+52807.5+21699.7i,+9481.18+1.19482i,+327350-240841i,+1.42622e+06-307305i,+767033-23786.2i,+467725+235233i,+96969.3+244376i
2016-10-07 20:00:00 PDT,-0+0i,-0+0i,+1.28476e+06-333387i,+0+0j,+0+0j,+0+0j,+1.26707e+06-346511i,-0+0i,+109645+233.459i,+1.15291e+06-355335i,+51394.6+121.549i,-0+0i,+433213-340743i,+42034.2+21028.9i,+9313.85-20954.4i,+0+0j,+0+0j,+48718.8-42622.3i,+79038-63677.4i,+18016.2-42665.5i,-0+0i,+79056.5-63784.2i,-0+0i,+79065-63888.8i,+17995.2-42782i,+61058.9-21212.5i,+17987.7-42811.7i,-0+0i,+17979.5-42831.1i,+43077.2+21553.5i,+1.06472e-06-3.17277e-06i,+1.09876e-06-3.203e-06i,+0+0j,+0+0j,+42822.3+21462.4i,+231184-244993i,+42789.8+21409.2i,-0+0i,+0+0j,-0+0i,+230867-245488i,-0+0i,+219015-245979i,+22593.7-21421.4i,+196159-224970i,+13722.3+2.32251i,+75337.2+53827.9i,+97324.6-241086i,+59657.1-241403i,+59496.4-241721i,+41919-242000i,+667428-30699.4i,+633983-33061.9i,+21011.3+10507.8i,+552786+294235i,+3.37976e-09+1.46558e-08i,-0+0i,+550765+290822i,+0+0j,-1.00433e-05+1.40422e-05i,+128691+355.493i,+169329-12541.9i,+145423+246122i,+111891+223.696i,+65045.3+86.4239i,+53461.1+31.4663i,-0+0i,+169091-12553.4i,+0+0j,+0+0j,+77730.5-200508i,+41650.2+293327i,+77632.4-200795i,+44319.9+22173.9i,+33281.3-223053i,+33178-223545i,+33024.5-224093i,-0+0i,+74.3497-224334i,+0+0j,+40501.1+291123i,+46745.9-53656i,-6985.46+343362i,-0+0i,-7512.07+342209i,-0+0i,-7990.53+341350i,-8388.46+340455i,-1.38771e-05-5.2673e-06i,-0+0i,+46714.6+15.6317i,-5.22011e-06-3.73024e-06i,-5.23066e-06-3.73731e-06i,-5.23057e-06-3.74113e-06i,-0+0i,+98519+245400i,+0+0j,+0+0j,-0+0i,+98391.1+244935i,+0+0j,+139279+572.545i,-40950+243842i,+83461.6+220.778i,+22581.7+11.8986i,+60796.3+124.246i,+52141.2+21785.6i,+8640.98+0.988423i,+303542-239890i,+1.33005e+06-314873i,+714122-25249.1i,+444741+235761i,+98615.1+245718i
2016-10-07 21:00:00 PDT,-0+0i,-0+0i,+1.14553e+06-340560i,+0+0j,+0+0j,+0+0j,+1.13085e+06-351240i,-0+0i,+98496.2+271.743i,+1.02857e+06-358515i,+51597.2+181.682i,-0+0i,+391619-339883i,+42158.7+21091.1i,+9391.77-20956.8i,+0+0j,+0+0j,+43896.8-42620i,+79605.2-63591.2i,+18238.8-42658.5i,-0+0i,+79613-63693.2i,-0+0i,+79612.5-63793.9i,+18207-42763.5i,+61388.8-21133.9i,+18199-42792.2i,-0+0i,+18190.8-42811.7i,+43194.1+21612.6i,-9.05694e-06-3.54719e-07i,-9.10438e-06-3.7527e-07i,+0+0j,+0+0j,+42979.6+21542i,+199498-246896i,+42947.8+21488.3i,-0+0i,+0+0j,-0+0i,+199225-247333i,-0+0i,+189438-247766i,+20342.2-21422.7i,+168863-226713i,+11341.6+1.57975i,+75672.3+54067.4i,+69470.4-243066i,+38962.6-243366i,+38806.4-243672i,+24199.5-243947i,+595173-31667.6i,+567262-33572.5i,+21115.9+10560.5i,+509059+294803i,+4.92985e-09-9.27276e-09i,-0+0i,+507243+291707i,+0+0j,-1.45063e-05+4.4395e-06i,+103414+227.142i,+168188-13020.1i,+137632+248105i,+89500.6+142.51i,+52264.5+55.2066i,+42719.7+19.9549i,-0+0i,+167941-13049.9i,+0+0j,+0+0j,+72600.4-201610i,+44861.4+293912i,+72489.7-201897i,+44564.9+22296.4i,+27891.7-224275i,+27777.3-224758i,+27621.6-225284i,-0+0i,+75.0872-225522i,+0+0j,+43751.9+291706i,+37180.3-53966.8i,+5854.89+344250i,-0+0i,+5334.03+343091i,-0+0i,+4863.67+342229i,+4470+341339i,-3.75986e-06-8.50215e-06i,-0+0i,+37151.5+10.303i,+1.93738e-06-1.0181e-05i,+1.93137e-06-1.01866e-05i,+1.9144e-06-1.01794e-05i,-0+0i,+100294+247379i,+0+0j,+0+0j,-0+0i,+100168+246921i,+0+0j,+123357+606.369i,-23265.5+245795i,+78615.9+331.978i,+18818.1+8.21058i,+59724.1+249.142i,+50898+21922.3i,+7120.66+0.666907i,+266276-238438i,+1.18161e+06-325587i,+632237-27344.9i,+410418+237002i,+100391+247713i
