case,month,profile,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
bc,january,week,18.6,19.19,18.77,19.37,18.91,19.47,25.15,38.86,52.93,63.71,63.72,63.66,57.76,63.6,63.61,63.6,65.33,29.66,17.29,18.42,17.83,18.97,18.17,19.26
bc,january,weekend,19.67,19.71,19.85,19.91,19.99,20.04,20.15,17.45,14.61,18.09,18.3,17.64,13.13,12.56,12.8,12.44,10.9,17.8,19.12,18.52,19.67,18.8,19.92,18.96
bc,july,peak,15.42,15.42,15.42,15.42,13.93,17.62,38.11,58.8,75.28,79.58,83.12,79.66,91.11,95.86,98.34,99.54,42.84,22.71,24.84,21.12,18.84,15.97,15.58,15.42
bc,july,week,14.68,14.68,14.68,14.68,11.92,16.25,34.79,52.43,63.41,64.37,66.27,63.11,71.65,73.83,75.57,75.43,24.68,10.19,9.29,12.2,14.72,14.68,14.68,14.68
bc,july,weekend,15.42,15.42,15.42,15.42,12.74,6.49,12.06,12.57,17.47,17.66,18.21,13.8,14.91,17.12,19.22,11.79,12.15,11.77,10.64,13.15,15.42,15.42,15.42,15.42
bc,june,peak,16.44,17.16,17.0,17.85,12.88,17.62,38.11,57.59,69.69,70.27,71.91,68.93,78.2,79.87,81.07,79.35,22.69,7.6,7.16,12.44,15.42,15.42,15.65,16.23
bc,june,week,14.72,14.72,14.72,14.72,10.49,16.82,36.38,54.97,66.4,66.42,66.57,60.65,67.76,69.09,70.2,70.61,19.72,6.24,6.21,10.86,14.72,14.72,14.72,14.74
bc,june,weekend,15.51,15.63,15.67,15.79,11.3,6.74,12.09,12.56,17.41,17.41,17.41,12.06,12.09,12.16,12.43,7.05,6.93,6.74,6.55,11.7,15.42,15.42,15.42,15.42
bc,march,peak,20.47,20.55,21.2,20.98,21.67,26.55,41.09,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,25.04,18.14,18.94,19.37,19.9,19.92,20.49
bc,march,week,17.75,17.89,18.05,18.13,18.24,22.59,31.29,48.32,62.37,66.54,66.54,62.31,64.28,66.54,66.54,66.54,34.75,11.64,15.3,16.35,16.75,17.08,17.37,17.58
bc,march,weekend,19.07,19.5,19.47,19.94,19.86,20.12,14.65,14.49,16.51,18.64,18.3,15.38,12.53,12.47,12.4,9.69,7.16,8.24,16.76,17.63,18.06,18.22,18.44,18.51
bc,may,peak,18.4,18.88,18.89,18.78,17.86,17.62,38.11,57.59,69.57,69.57,69.57,63.07,69.81,70.38,71.44,72.45,20.49,6.49,7.98,15.64,16.16,16.44,17.36,17.17
bc,may,week,15.55,15.8,15.93,16.19,14.05,16.37,35.08,52.87,63.8,63.8,63.8,57.87,63.8,63.8,63.87,63.92,18.99,6.21,6.47,13.91,14.79,14.84,14.94,15.12
bc,may,weekend,16.21,16.23,16.77,16.69,14.39,7.73,12.72,12.94,17.69,17.53,17.43,12.06,12.06,12.06,12.06,6.54,6.54,6.59,6.98,14.92,15.88,16.04,16.15,16.41
bc,november,peak,20.51,20.43,20.55,20.45,20.61,26.55,42.58,57.59,69.57,69.57,69.57,69.57,69.57,69.57,69.57,69.57,75.51,32.09,18.05,19.15,18.58,19.84,19.22,20.34
bc,november,week,17.55,17.92,17.77,18.15,17.94,19.17,25.52,37.09,53.95,63.65,63.64,62.69,58.24,63.54,63.54,63.54,60.53,26.49,16.23,16.87,16.94,17.38,17.29,17.72
bc,november,weekend,18.47,18.42,18.71,18.64,18.91,18.75,18.37,13.04,14.37,16.38,16.11,14.48,11.6,11.41,11.27,9.89,11.11,16.92,17.66,17.73,18.29,18.11,18.55,18.28
bc,october,peak,18.81,19.51,19.47,20.05,19.91,26.55,42.58,57.59,69.57,69.57,69.57,63.07,69.57,69.57,69.92,70.08,21.98,15.42,15.98,16.73,16.77,17.7,17.92,18.76
bc,october,week,16.2,16.42,16.64,16.8,17.02,24.95,36.95,52.75,63.59,63.55,63.54,57.63,63.54,63.54,63.54,63.54,18.99,12.62,14.72,14.79,14.93,15.15,15.35,15.67
bc,october,weekend,16.53,16.81,17.0,17.3,17.56,17.85,14.82,12.95,16.99,16.6,16.42,11.49,11.45,11.44,11.44,6.49,6.82,13.51,15.7,15.94,16.12,16.39,16.75,16.9
bc,september,peak,15.42,15.42,15.42,15.42,15.61,26.55,38.11,57.59,69.57,70.13,71.0,67.1,77.65,76.96,77.01,78.37,28.47,11.28,15.42,15.42,15.42,15.42,15.42,15.42
bc,september,week,14.68,14.68,14.68,14.68,14.69,21.99,34.79,52.42,63.25,63.29,63.42,57.69,64.02,64.41,64.49,64.71,18.99,6.84,13.49,14.68,14.68,14.68,14.68,14.68
bc,september,weekend,15.42,15.42,15.42,15.42,15.45,12.74,12.72,13.24,18.63,18.63,18.73,12.88,13.43,14.29,15.05,8.15,7.97,8.17,14.58,15.42,15.42,15.42,15.42,15.42
bci,april,peak,19.57,19.6,19.77,19.7,23.61,34.9,47.11,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,50.17,13.62,3.88,13.37,17.78,19.01,18.33,19.41,18.61
bci,april,week,16.46,16.69,16.88,17.09,17.26,19.94,40.35,50.17,50.17,50.17,48.31,40.93,47.56,49.03,50.17,50.17,11.05,2.04,10.16,14.94,15.27,15.59,15.85,16.17
bci,april,weekend,17.57,17.79,17.99,18.2,18.4,12.69,11.01,6.42,6.23,2.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,7.58,16.59,17.18,17.25,17.67
bci,august,peak,15.43,15.43,15.43,15.43,15.43,25.92,46.57,60.17,56.83,55.47,58.29,55.12,60.41,68.77,68.77,68.77,25.61,12.64,19.61,17.45,15.44,15.43,15.43,15.43
bci,august,week,14.76,14.76,14.76,14.76,14.76,22.11,44.91,57.66,52.84,49.25,47.94,43.08,43.62,47.72,57.63,64.62,16.15,5.7,9.75,14.62,14.76,14.76,14.76,14.76
bci,august,weekend,15.42,15.42,15.42,15.42,15.42,7.98,9.18,3.81,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,15.42,15.42,15.42,15.42
bci,december,peak,21.77,21.3,22.28,21.86,22.6,22.34,27.01,53.59,50.09,59.71,56.17,55.43,51.3,54.94,53.58,58.86,66.2,33.78,20.07,21.92,20.93,22.64,21.43,23.06
bci,december,week,18.26,19.0,18.49,19.28,18.72,19.43,25.18,40.6,45.09,53.43,49.87,49.12,45.71,48.69,47.35,52.61,66.2,29.34,17.02,18.02,17.59,18.5,17.9,18.75
bci,december,weekend,20.03,20.41,20.27,20.68,20.58,20.9,20.73,17.62,7.84,9.63,5.99,4.62,1.71,0.0,0.0,0.0,13.15,18.19,19.25,19.07,19.92,19.54,20.24,19.79
bci,february,peak,21.49,21.9,21.72,22.26,21.52,22.38,36.33,48.33,47.82,51.86,51.86,50.67,44.03,50.42,51.86,51.86,51.86,29.96,18.37,20.04,19.22,21.07,20.01,21.63
bci,february,week,18.54,18.73,18.84,19.0,19.08,19.19,24.32,35.93,42.42,48.53,46.29,44.13,38.16,43.86,45.6,48.25,51.86,24.75,16.56,17.36,17.53,18.08,18.1,18.56
bci,february,weekend,19.95,20.11,20.25,20.39,20.51,20.64,19.64,12.26,5.14,4.73,2.17,0.0,0.0,0.0,0.0,0.0,0.0,3.91,11.38,18.31,19.25,18.98,19.85,19.4
bci,january,peak,21.23,22.88,21.75,23.3,21.86,23.27,27.01,53.9,49.7,59.76,57.69,56.54,50.27,55.08,56.12,56.71,63.47,33.93,19.84,21.28,20.18,21.55,20.65,22.15
bci,january,week,18.61,19.2,18.78,19.38,18.92,19.48,25.16,39.42,44.84,53.7,51.65,50.43,44.76,49.11,50.17,50.74,63.47,29.66,17.29,18.42,17.83,18.98,18.18,19.27
bci,january,weekend,19.67,19.71,19.85,19.91,19.99,20.04,20.15,17.24,6.52,8.09,6.23,4.42,0.13,0.0,0.0,0.0,7.32,17.8,19.12,18.52,19.67,18.8,19.92,18.96
bci,july,peak,15.43,15.43,15.43,15.43,13.94,21.46,46.47,62.07,62.37,62.7,64.15,59.67,63.9,77.63,77.63,77.63,34.46,18.54,23.01,21.13,18.85,15.98,15.59,15.43
bci,july,week,14.69,14.69,14.69,14.69,11.93,20.09,43.15,55.7,50.49,47.5,47.3,43.12,43.05,46.6,56.06,62.7,16.3,6.02,7.46,12.21,14.73,14.69,14.69,14.69
bci,july,weekend,15.42,15.42,15.42,15.42,12.74,6.49,9.08,4.51,4.56,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,8.8,13.15,15.42,15.42,15.42,15.42
bci,june,peak,16.45,17.17,17.01,17.86,12.89,24.19,46.24,57.3,56.01,52.84,52.7,49.06,57.23,57.3,57.3,57.3,14.43,3.61,5.38,12.45,15.43,15.43,15.66,16.24
bci,june,week,14.73,14.73,14.73,14.73,10.5,20.77,44.51,57.3,52.72,49.0,47.36,40.78,38.32,41.22,51.42,57.3,11.47,2.25,4.43,10.87,14.73,14.73,14.73,14.75
bci,june,weekend,15.51,15.63,15.67,15.79,11.3,6.74,8.88,3.67,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,10.9,15.42,15.42,15.42
bci,march,peak,20.48,20.56,21.21,20.99,25.1,37.88,51.94,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,52.45,23.67,18.15,18.95,19.38,19.92,19.93,20.5
bci,march,week,17.76,17.9,18.06,18.14,18.25,22.6,30.81,45.44,51.63,51.11,48.96,44.04,45.11,49.5,51.56,52.45,26.46,10.27,15.3,16.35,16.75,17.09,17.38,17.59
bci,march,weekend,19.07,19.5,19.47,19.94,19.86,20.12,14.16,8.9,5.76,3.21,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,17.63,18.06,18.22,18.44,18.51
bci,may,peak,18.41,18.89,18.9,18.79,19.61,28.31,46.07,51.04,51.04,51.04,50.01,51.04,43.87,51.04,51.04,51.04,12.82,2.73,7.99,15.65,16.17,16.45,17.38,17.19
bci,may,week,15.57,15.81,15.95,16.2,14.06,24.06,43.04,51.04,50.12,47.4,44.24,37.26,35.35,36.06,45.83,51.04,11.32,2.44,6.48,13.93,14.8,14.86,14.95,15.14
bci,may,weekend,16.21,16.23,16.77,16.69,14.39,7.08,9.34,4.27,4.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,13.65,16.04,16.15,16.41
bci,november,peak,20.52,20.44,20.56,20.47,20.62,26.56,42.85,65.19,60.72,57.49,54.89,52.81,51.05,53.77,54.22,58.57,65.59,32.09,18.05,19.15,18.58,19.85,19.23,20.35
bci,november,week,17.56,17.93,17.78,18.16,17.95,19.18,25.53,33.51,45.1,51.57,48.96,45.94,39.73,47.74,48.19,52.54,59.8,26.49,16.23,16.87,16.94,17.4,17.31,17.73
bci,november,weekend,18.47,18.42,18.71,18.64,18.91,18.75,18.37,9.3,5.53,4.29,1.44,0.0,0.0,0.0,0.0,0.0,1.19,11.18,17.66,17.73,18.29,18.11,18.55,18.28
bci,october,peak,18.82,19.53,19.48,20.06,24.42,37.88,51.17,51.17,51.17,51.17,51.17,51.17,48.23,51.17,51.17,51.17,17.91,15.32,15.99,16.74,16.78,17.71,17.93,18.77
bci,october,week,16.21,16.44,16.65,16.81,17.03,34.15,47.32,51.17,51.17,47.15,45.59,39.76,35.95,37.08,48.99,51.17,14.92,12.52,14.73,14.8,14.94,15.16,15.36,15.68
bci,october,weekend,16.53,16.81,17.0,17.3,17.56,17.85,13.86,5.39,5.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,6.52,15.84,16.12,16.39,16.75,16.9
bci,september,peak,15.43,15.43,15.43,15.43,15.63,33.93,47.54,57.98,56.53,53.92,52.91,48.25,56.72,57.98,57.98,57.98,21.1,10.33,15.43,15.43,15.43,15.43,15.43,15.43
bci,september,week,14.69,14.69,14.69,14.69,14.7,25.82,44.22,56.34,50.21,47.08,45.33,38.84,37.55,39.32,47.91,53.49,11.62,5.89,13.51,14.69,14.69,14.69,14.69,14.69
bci,september,weekend,15.42,15.42,15.42,15.42,15.45,12.74,10.81,5.83,5.59,2.42,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,15.42,15.42,15.42,15.42,15.42
