# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-06-03 00:00:00 PDT,+0-0i,+0-0i,+1.01105e+06+150873i,+0+0j,+0+0j,+0+0j,+1.00322e+06+143816i,+0-0i,+88257+30700.1i,+912131+108451i,+62145.8+30617.9i,+0-0i,+396641-51616i,+41484.5+20753.8i,+20575.7+9777.43i,+0+0j,+0+0j,+54012.8+19117.7i,+124192+59081.4i,+41378.4+19082.8i,+0-0i,+124119+58934.1i,+0-0i,+124072+58793.2i,+41340.9+18964i,+82669+39665.8i,+41332+18940.3i,+0-0i,+41323.8+18920.8i,+41318.4+20674.9i,+4.51533e-06-7.91982e-06i,+4.46809e-06-7.945e-06i,+0+0j,+0+0j,+41502.7+20791.3i,+162116-145910i,+41474.9+20751.3i,+0-0i,+0+0j,+0-0i,+162024-146091i,+0-0i,+158081-146271i,+25510.5+9472.38i,+132487-155913i,+4750.28+0.287707i,+72931.3+52109i,+22844.6-232416i,+6856.37-232719i,+6753.08-233032i,+206.573-233328i,+490850+151876i,+476949+150660i,+20639.3+10322.8i,+468525+417157i,+4.90419e-09+1.61035e-08i,+0-0i,+466533+413828i,+0+0j,+8.45127e-06-4.18581e-06i,+53783.7+64.5661i,+218282+87939.1i,+121251+268543i,+47620.5+41.0013i,+26915.4+15.5783i,+23055.9+5.96992i,+0-0i,+217902+87665i,+0+0j,+0+0j,+57265.4-195571i,+58259.1+230069i,+57152-195839i,+43226+21626.5i,+13894.4-217537i,+13782.3-217984i,+13645.7-218453i,+0-0i,+67.7015-218680i,+0+0j,+57444.7+228704i,+20703.1-52618.2i,+36210.5+280437i,+0-0i,+35794.7+279659i,+0-0i,+35470+279065i,+35204+278455i,-7.66268e-06-2.27351e-06i,+0-0i,+20679+3.60462i,+4.91928e-06+6.59773e-06i,+4.91767e-06+6.59201e-06i,+4.91513e-06+6.59681e-06i,+0-0i,+100347+267543i,+0+0j,+0+0j,+0-0i,+100208+266945i,+0+0j,+99673.1+30906.3i,+414.054+235348i,+75192.9+30703.5i,+8921.88+1.90857i,+66189.8+30619.3i,+45155+21185.1i,+2840.11+0.10974i,+216607-132262i,+1.03376e+06+160677i,+512050+154537i,+394645+358947i,+100465+268035i
2016-06-03 11:00:00 PDT,-0+0i,-0+0i,+710446-356054i,+0+0j,+0+0j,+0+0j,+705467-360816i,-0+0i,+65109.8+421.754i,+638448-364396i,+52271.3+382.761i,-0+0i,+261967-336158i,+42576.8+21300.3i,+9647.01-20965.7i,+0+0j,+0+0j,+30752-42615.1i,+81486.2-63312.3i,+18964.4-42643.2i,-0+0i,+81458.6-63399.7i,-0+0i,+81428.7-63488.3i,+18898.3-42712.6i,+62494.9-20872i,+18888.6-42738.5i,-0+0i,+18880.3-42758i,+43605.5+21820.2i,-8.09735e-06+5.22914e-08i,-8.10326e-06+5.14185e-08i,+0+0j,+0+0j,+43523.1+21816.8i,+98425.7-252045i,+43493.6+21761.4i,-0+0i,+0+0j,-0+0i,+98256.3-252367i,-0+0i,+95706.3-252689i,+12643.6-21429.5i,+82896.5-231541i,+3220.12+0.125497i,+76825.9+54891.7i,-18410.1-248758i,-25943.4-249059i,-26092.4-249364i,-31281.8-249664i,+367409-33832.6i,+354660-34613.2i,+21474.7+10740.8i,+373332+299172i,+1.48327e-08-1.56161e-08i,-0+0i,+372131+296933i,+0+0j,+8.56755e-06-5.36767e-06i,+20067.2+7.2598i,+168804-12577.6i,+111570+254271i,+15304.1+4.13442i,+9381.61+1.63418i,+7000.52+0.523442i,-0+0i,+168516-12672.9i,+0+0j,+0+0j,+58693.7-205438i,+56808.8+298077i,+58536.8-205725i,+45419+22723.7i,+13077.6-228521i,+12926.8-228974i,+12764.9-229436i,-0+0i,+77.6424-229672i,+0+0j,+55804+295821i,+5941.21-55026.9i,+49207.6+349378i,-0+0i,+48684.7+348159i,-0+0i,+48223.8+347254i,+47833.2+346351i,-2.95365e-06-4.47342e-06i,-0+0i,+5919.27+0.36889i,-6.49245e-06+4.3692e-06i,-6.5009e-06+4.40124e-06i,-6.51952e-06+4.38921e-06i,-0+0i,+105470+253526i,+0+0j,+0+0j,-0+0i,+105355+253078i,+0+0j,+73059.8+821.691i,+32171.7+251729i,+63686.6+727.275i,+7841.38+1.39523i,+55797.9+677.927i,+46412.4+22394.1i,+1680.04+0.036323i,+148152-233234i,+719477-349568i,+374053-32218.8i,+301295+243047i,+105569+253909i
2016-06-03 12:00:00 PDT,-0+0i,-0+0i,+726644-355630i,+0+0j,+0+0j,+0+0j,+720455-360571i,-0+0i,+66026.5+418.066i,+652484-364256i,+52256.9+377.962i,-0+0i,+267851-336181i,+42569.7+21296.7i,+9639.74-20966.9i,+0+0j,+0+0j,+31150.1-42620.9i,+81438.3-63327.2i,+18942.1-42649.2i,-0+0i,+81412.3-63415.2i,-0+0i,+81383.6-63504.3i,+18877.6-42720.2i,+62471.7-20880.9i,+18868.1-42746.5i,-0+0i,+18859.8-42766i,+43603.1+21819i,-2.14633e-06-5.31597e-06i,-2.13267e-06-5.31982e-06i,+0+0j,+0+0j,+43515.2+21812.6i,+103536-251883i,+43485.3+21757.3i,-0+0i,+0+0j,-0+0i,+103362-252211i,-0+0i,+99647.6-252537i,+13819.5-21432.2i,+85659.9-231390i,+4410.23+0.235463i,+76806.5+54877.9i,-15601.5-248586i,-23486.9-248886i,-23635.6-249192i,-29864.8-249492i,+374917-33873.1i,+361717-34681.1i,+21469.9+10738.4i,+379014+299222i,-2.25633e-08+5.69354e-09i,-0+0i,+377798+296960i,+0+0j,+2.08756e-06+7.8254e-06i,+23239.4+9.56471i,+168800-12422.6i,+112909+254114i,+17445.3+5.3723i,+11002.1+2.12272i,+7460.59+0.594695i,-0+0i,+168513-12515.4i,+0+0j,+0+0j,+59133.2-205411i,+56435.5+298231i,+58977.8-205700i,+45412+22720.2i,+13526-228494i,+13376.4-228950i,+13215-229416i,-0+0i,+77.537-229654i,+0+0j,+55421.1+295970i,+6461.24-55013.7i,+48300+349512i,-0+0i,+47775.1+348292i,-0+0i,+47312.3+347387i,+46919.9+346482i,-5.43143e-07+1.35721e-05i,-0+0i,+6439.24+0.405166i,+8.69608e-06-5.58414e-07i,+8.68477e-06-5.57516e-07i,+8.67421e-06-4.9646e-07i,-0+0i,+106290+253365i,+0+0j,+0+0j,-0+0i,+106175+252912i,+0+0j,+75303.9+820.455i,+30748.9+251560i,+65284.9+720.126i,+8551.64+1.66004i,+56683.6+668.059i,+47315.6+22386.6i,+2600.09+0.0870362i,+153676-233308i,+736488-348895i,+382165-32198.3i,+305819+243065i,+106388+253749i
2016-06-03 13:00:00 PDT,-0+0i,-0+0i,+764366-354759i,+0+0j,+0+0j,+0+0j,+756651-360119i,-0+0i,+68813.1+406.97i,+685783-364059i,+52210+363.384i,-0+0i,+279500-336498i,+42542.5+21283.2i,+9620.06-20967.8i,+0+0j,+0+0j,+31515.2-42628.3i,+81305.9-63355.8i,+18887-42656.9i,-0+0i,+81283.6-63445.3i,-0+0i,+81258-63535.7i,+18825.4-42731.4i,+62400.5-20902i,+18816.2-42758.2i,-0+0i,+18808-42777.7i,+43584.4+21809.5i,+2.29272e-06+3.18818e-06i,+2.28033e-06+3.19796e-06i,+0+0j,+0+0j,+43483.2+21796.2i,+113529-251471i,+43453+21741.1i,-0+0i,+0+0j,-0+0i,+113348-251808i,-0+0i,+108266-252143i,+15176-21434.9i,+92917.5-230999i,+5800.4+0.407675i,+76734.2+54826.2i,-8209.81-248132i,-17711.1-248431i,-17859.2-248736i,-25288-249033i,+393658-33863.9i,+379981-34743.9i,+21447.2+10726.9i,+391328+299117i,-5.16931e-09-8.55409e-09i,-0+0i,+390066+296796i,+0+0j,+1.556e-05+8.20601e-06i,+31488+18.2299i,+168686-12188.9i,+115758+253627i,+24500.4+10.5242i,+15284.1+4.10642i,+10381.1+1.15324i,-0+0i,+168404-12275.6i,+0+0j,+0+0j,+59519.4-205196i,+56130.7+298281i,+59370-205487i,+45361.9+22695.1i,+13969.4-228257i,+13824.4-228718i,+13664.9-229193i,-0+0i,+77.3271-229431i,+0+0j,+55100.9+296018i,+9231.52-54946.6i,+45201.3+349493i,-0+0i,+44675.2+348276i,-0+0i,+44210.7+347374i,+43816.8+346468i,-1.85267e-06-2.60578e-06i,-0+0i,+9209.08+0.722277i,+1.10057e-05+2.03904e-06i,+1.09959e-05+2.04237e-06i,+1.09837e-05+2.05494e-06i,-0+0i,+106369+252878i,+0+0j,+0+0j,-0+0i,+106253+252422i,+0+0j,+79972+805.635i,+26163.8+251082i,+67050.2+692.345i,+9341.96+1.98388i,+57655.7+637.12i,+48331.7+22355.8i,+3680.17+0.174623i,+165083-233735i,+776943-347420i,+403685-32015.9i,+316836+242853i,+106466+253259i
2016-06-03 14:00:00 PDT,-0+0i,-0+0i,+830553-353143i,+0+0j,+0+0j,+0+0j,+820611-359283i,-0+0i,+73997.2+388.116i,+744353-363702i,+52127.3+337.663i,-0+0i,+299158-337106i,+42494.9+21259.3i,+9585.14-20969.6i,+0+0j,+0+0j,+31839.6-42642i,+81077-63405.9i,+18791.2-42670.8i,-0+0i,+81061.3-63498.3i,-0+0i,+81041.2-63591i,+18734.7-42751.6i,+62278.1-20938.6i,+18725.9-42779i,-0+0i,+18717.7-42798.4i,+43553.3+21793.6i,+4.52932e-06+5.05175e-06i,+4.50751e-06+5.04162e-06i,+0+0j,+0+0j,+43429+21768.5i,+130414-250689i,+43398.2+21713.7i,-0+0i,+0+0j,-0+0i,+130220-251042i,-0+0i,+123214-251392i,+17058.3-21439.6i,+105977-230256i,+7740.72+0.727172i,+76610.8+54738i,+5078.68-247282i,-7522.74-247579i,-7669.57-247883i,-16738.1-248175i,+426859-33850i,+412672-34865.3i,+21407.1+10706.8i,+412732+299152i,+4.51271e-09+5.44313e-09i,-0+0i,+411388+296722i,+0+0j,+3.51765e-06+1.08036e-05i,+46381+41.5724i,+168640-11527.1i,+120682+252715i,+37754.5+24.8183i,+23029.4+9.54302i,+16212.8+2.82075i,-0+0i,+168365-11603.4i,+0+0j,+0+0j,+59853.4-204816i,+56096+298614i,+59715.7-205108i,+45272.5+22650.5i,+14406.6-227834i,+14270.4-228305i,+14114.6-228793i,-0+0i,+77.0282-229032i,+0+0j,+55039.2+296344i,+14732.4-54826.8i,+39623.4+349699i,-0+0i,+39095.4+348489i,-0+0i,+38627.7+347591i,+38231.5+346684i,+1.05057e-06-1.94807e-05i,-0+0i,+14709+1.63973i,-1.23386e-06-9.22962e-06i,-1.22035e-06-9.19477e-06i,-1.23767e-06-9.19074e-06i,-0+0i,+105791+251967i,+0+0j,+0+0j,-0+0i,+105674+251506i,+0+0j,+87962.2+779.973i,+17602.5+250190i,+69396.6+642.623i,+10352.4+2.44232i,+58987.8+583.01i,+49740.6+22301.8i,+5200.34+0.349578i,+184640-234537i,+848378-344666i,+442356-31668i,+336669+242688i,+105888+252341i
2016-06-03 15:00:00 PDT,-0+0i,-0+0i,+981378-348911i,+0+0j,+0+0j,+0+0j,+968501-357042i,-0+0i,+87421.2+347.957i,+878279-362714i,+51931.4+277.367i,-0+0i,+342042-338725i,+42380.4+21202i,+9503.99-20972.4i,+0+0j,+0+0j,+33720.9-42667.9i,+80545.6-63515.3i,+18571.1-42698.1i,-0+0i,+80544-63613.7i,-0+0i,+80535.7-63711.4i,+18526-42792.3i,+61988.7-21021.2i,+18517.7-42820.5i,-0+0i,+18509.4-42840i,+43474.2+21753.2i,+2.85058e-06-1.45341e-05i,+2.81653e-06-1.45342e-05i,+0+0j,+0+0j,+43300.7+21703.5i,+165144-248726i,+43269.3+21649.2i,-0+0i,+0+0j,-0+0i,+164922-249118i,-0+0i,+155737-249506i,+19229.2-21448.9i,+136312-228390i,+10041.2+1.22803i,+76323.5+54532.8i,+35934.7-245179i,+15523.8-245477i,+15378.9-245784i,+4028.79-246068i,+503920-33703.5i,+487348-35071.9i,+21311+10658.6i,+460615+299537i,-3.21196e-09+6.07955e-09i,-0+0i,+459078+296843i,+0+0j,+6.7277e-06+4.84221e-06i,+78194.6+126.226i,+170160-9630.46i,+130508+250476i,+67307.3+78.364i,+39249.2+29.5448i,+30269.8+9.89772i,-0+0i,+169899-9686.84i,+0+0j,+0+0j,+61831.8-203865i,+56429.5+299653i,+61718.4-204155i,+45053.5+22540.9i,+16632.4-226775i,+16515-227260i,+16365.1-227775i,-0+0i,+76.4837-228016i,+0+0j,+55315.2+297372i,+28036.3-54537.5i,+26560.3+350435i,-0+0i,+26028+349237i,-0+0i,+25553.3+348348i,+25152.7+347436i,-1.51251e-05-2.42182e-06i,-0+0i,+28010.3+5.38011i,+9.84084e-07-3.54977e-07i,+1.0033e-06-3.58642e-07i,+1.00261e-06-3.4696e-07i,-0+0i,+102308+249735i,+0+0j,+0+0j,-0+0i,+102185+249269i,+0+0j,+105268+722.203i,-3172.94+248012i,+72742.4+524.497i,+12443.5+3.54914i,+60236.6+457.774i,+51163.3+22174.9i,+6880.61+0.615585i,+226179-236618i,+1.01226e+06-337476i,+532776-30628.1i,+379965+242570i,+102405+250088i
2016-06-03 16:00:00 PDT,-0+0i,-0+0i,+1.14424e+06-342045i,+0+0j,+0+0j,+0+0j,+1.12789e+06-352636i,-0+0i,+101067+289.023i,+1.02316e+06-359846i,+51643.6+194.279i,-0+0i,+388085-340448i,+42192.1+21107.8i,+9404.76-20960.9i,+0+0j,+0+0j,+36806.2-42648i,+79787-63593.6i,+18294.1-42680.5i,-0+0i,+79799.9-63698.2i,-0+0i,+79803.6-63801i,+18261.4-42788.9i,+61528.6-21117.1i,+18253.6-42817.9i,-0+0i,+18245.3-42837.4i,+43280.2+21655.3i,-1.29157e-05-1.10456e-05i,-1.29222e-05-1.10695e-05i,+0+0j,+0+0j,+43051.6+21577.9i,+201856-246821i,+43019.6+21524.2i,-0+0i,+0+0j,-0+0i,+201585-247260i,-0+0i,+190119-247695i,+21538.3-21432i,+168352-226631i,+12511.9+1.91944i,+75799+54157.9i,+68786.3-243059i,+39747.3-243359i,+39597.4-243666i,+25556.3-243939i,+588172-32219.1i,+567779-34052.6i,+21145.3+10575.5i,+509330+296165i,+5.55131e-09-9.10915e-09i,-0+0i,+507510+293109i,+0+0j,+9.49466e-06+1.68705e-05i,+111351+264.933i,+168201-11685.4i,+140951+248117i,+97814.8+166.969i,+56222+62.8464i,+44991.8+22.1073i,-0+0i,+167963-11711.1i,+0+0j,+0+0j,+64974.9-202062i,+52350.7+295739i,+64884.8-202347i,+44649+22338.5i,+20207.2-224766i,+20108.8-225260i,+19965.4-225797i,-0+0i,+75.2235-226037i,+0+0j,+51211.2+293512i,+41522.7-54043.2i,+8955.07+346121i,-0+0i,+8428.86+344959i,-0+0i,+7954.86+344096i,+7558.62+343199i,+2.24713e-06+8.76542e-07i,-0+0i,+41493.2+12.0178i,+9.74294e-06-4.32389e-06i,+9.74152e-06-4.32372e-06i,+9.73449e-06-4.32069e-06i,-0+0i,+99264.3+247393i,+0+0j,+0+0j,-0+0i,+99136.8+246932i,+0+0j,+123725+631.609i,-24657.4+245780i,+76682.8+356.019i,+15305.4+5.42246i,+61307.5+279.709i,+52450.1+21960.1i,+8600.96+0.971492i,+269810-238945i,+1.18812e+06-326964i,+630574-27967.5i,+421711+238414i,+99361.9+247720i
2016-06-03 17:00:00 PDT,-0+0i,-0+0i,+1.237e+06-337642i,+0+0j,+0+0j,+0+0j,+1.21914e+06-349812i,-0+0i,+109146+261.617i,+1.10584e+06-358026i,+51496.7+150.897i,-0+0i,+414101-341282i,+42100.7+21062.1i,+9349.38-20958.5i,+0+0j,+0+0j,+38755.8-42648.6i,+79393.2-63649.4i,+18142.1-42682.8i,-0+0i,+79414-63757.5i,-0+0i,+79424.4-63863.2i,+18116.3-42799.1i,+61298.4-21170.8i,+18108.7-42828.5i,-0+0i,+18100.4-42848i,+43196+21612.7i,+4.94097e-07-5.84281e-06i,+5.08784e-07-5.78522e-06i,+0+0j,+0+0j,+42938.1+21520.8i,+222185-245533i,+42905.8+21467.3i,-0+0i,+0+0j,-0+0i,+221887-246005i,-0+0i,+209592-246473i,+22400.8-21429.6i,+186944-225437i,+13462.2+2.22892i,+75557+53985i,+87772.1-241695i,+53654.4-242004i,+53501.6-242315i,+38253-242588i,+636339-31565.1i,+613572-33693.4i,+21067.3+10536.4i,+537698+295577i,+1.38309e-08+1.8386e-08i,-0+0i,+535729+292312i,+0+0j,+1.1768e-05-8.55936e-06i,+129841+365.957i,+168436-11488.9i,+146487+246697i,+115119+232.186i,+65626.2+87.3018i,+53581.1+31.5179i,-0+0i,+168208-11500.7i,+0+0j,+0+0j,+67011.6-201236i,+51096.7+295119i,+66934.1-201518i,+44463+22245.4i,+22444.5-223845i,+22356.5-224344i,+22216.2-224895i,-0+0i,+74.7567-225135i,+0+0j,+49933.5+292901i,+49387.7-53808.6i,-202.804+345285i,-0+0i,-730.985+344133i,-0+0i,-1209.01+343276i,-1606.26+342378i,-6.79636e-06-1.82261e-05i,-0+0i,+49355.9+16.9856i,+1.27613e-05+1.46066e-06i,+1.27558e-05+1.45159e-06i,+1.27598e-05+1.47728e-06i,-0+0i,+96934.1+245977i,+0+0j,+0+0j,-0+0i,+96803.6+245516i,+0+0j,+134067+596.272i,-37322.3+244406i,+78516.7+271.314i,+16856.5+6.60798i,+61586.5+190.045i,+52846.5+21859i,+9201.1+1.11702i,+294249-240135i,+1.28847e+06-320206i,+686652-26556.4i,+446043+237380i,+97032.6+246290i
2016-06-03 18:00:00 PDT,-0+0i,-0+0i,+1.26511e+06-335919i,+0+0j,+0+0j,+0+0j,+1.24675e+06-348606i,-0+0i,+110932+251.295i,+1.1315e+06-357146i,+51449.2+136.846i,-0+0i,+423153-341337i,+42071.4+21047.4i,+9331.28-20957.8i,+0+0j,+0+0j,+40803.3-42646.1i,+79250.6-63667.9i,+18087.9-42681.9i,-0+0i,+79272.8-63776.7i,-0+0i,+79284.4-63882.9i,+18064.4-42800.1i,+61211-21189.6i,+18056.9-42829.7i,-0+0i,+18048.7-42849.1i,+43160.6+21594.9i,+4.85719e-06-3.97016e-06i,+4.85099e-06-3.91623e-06i,+0+0j,+0+0j,+42896.6+21499.8i,+228394-245161i,+42864.2+21446.5i,-0+0i,+0+0j,-0+0i,+228085-245646i,-0+0i,+215481-246127i,+22820.4-21428.4i,+192406-225101i,+13912.4+2.38306i,+75472.5+53924.7i,+93371.4-241300i,+57683.1-241613i,+57528.3-241927i,+41476.7-242201i,+651721-31289.7i,+626697-33521.3i,+21042.7+10524i,+546497+295276i,+2.86434e-09-3.19614e-08i,-0+0i,+544488+291941i,+0+0j,+5.82728e-06+5.33526e-06i,+133683+387.703i,+168638-11590.2i,+147600+246307i,+118202+245.713i,+67571.5+92.7549i,+55223.1+33.5293i,-0+0i,+168409-11598.9i,+0+0j,+0+0j,+69206.2-200961i,+49283.2+294748i,+69128.2-201243i,+44404+22215.9i,+24697.4-223541i,+24609.2-224041i,+24467.7-224594i,-0+0i,+74.5872-224834i,+0+0j,+48116+292533i,+50518.5-53737.5i,-3153.68+344848i,-0+0i,-3682.59+343697i,-0+0i,-4161.99+342841i,-4559.97+341943i,-7.4221e-06-1.85288e-05i,-0+0i,+50486.3+17.8064i,+4.23e-06-2.11124e-09i,+4.21467e-06+3.23562e-08i,+4.21557e-06+1.60447e-08i,-0+0i,+96916.7+245587i,+0+0j,+0+0j,-0+0i,+96786.1+245124i,+0+0j,+137263+587.206i,-40533.9+244022i,+79966.6+246.121i,+18207.6+7.72115i,+61682.4+160.844i,+52982+21826.9i,+9401.15+1.16786i,+301358-240321i,+1.3172e+06-317767i,+703052-26041.9i,+451219+236936i,+97014.7+245898i
2016-06-03 19:00:00 PDT,-0+0i,-0+0i,+1.32561e+06-332462i,+0+0j,+0+0j,+0+0j,+1.30646e+06-346289i,-0+0i,+115617+235.968i,+1.18619e+06-355561i,+51364.5+111.507i,-0+0i,+441277-341603i,+42020.3+21021.9i,+9297.66-20957.5i,+0+0j,+0+0j,+43647.9-42648.3i,+79005-63707.8i,+17990-42686.7i,-0+0i,+79031.3-63818.4i,-0+0i,+79046.3-63926.1i,+17971.3-42809.5i,+61068.1-21224.3i,+17963.9-42839.3i,-0+0i,+17955.6-42858.8i,+43111.3+21570i,+3.12683e-06+4.91996e-06i,+3.1359e-06+4.9549e-06i,+0+0j,+0+0j,+42832.2+21467.3i,+241493-244251i,+42799.5+21414.1i,-0+0i,+0+0j,-0+0i,+241166-244763i,-0+0i,+228173-245270i,+23344.7-21429.3i,+204561-224265i,+14492.6+2.59048i,+75336.2+53827.3i,+105758-240368i,+66626.5-240691i,+66469.3-241012i,+49332.1-241290i,+684092-30890.4i,+655876-33340.3i,+21000.4+10502.6i,+565594+295468i,+2.46829e-08-1.53541e-08i,-0+0i,+563504+291990i,+0+0j,+1.17625e-05-2.92648e-06i,+143815+450.946i,+169612-10915.9i,+150451+245398i,+127302+286.251i,+72707+108.41i,+59979.1+39.6615i,-0+0i,+169386-10918.1i,+0+0j,+0+0j,+72253-200509i,+47548+294998i,+72178.3-200792i,+44305+22166.4i,+27846.9-223041i,+27761.8-223544i,+27619.8-224105i,-0+0i,+74.3851-224346i,+0+0j,+46363.3+292779i,+54461.5-53611.6i,-8860.53+344966i,-0+0i,-9393.38+343814i,-0+0i,-9877.59+342957i,-10278.4+342053i,-7.4197e-06-2.42646e-06i,-0+0i,+54428.1+20.6091i,+9.43193e-06-1.58263e-06i,+9.42931e-06-1.57614e-06i,+9.41033e-06-1.55891e-06i,-0+0i,+95824.5+244677i,+0+0j,+0+0j,-0+0i,+95692.5+244212i,+0+0j,+144008+575.215i,-48366.7+243122i,+81896.3+198.939i,+20079.3+9.41423i,+61736.6+107.976i,+53110.5+21771.5i,+9641.22+1.23144i,+316852-240851i,+1.38092e+06-312671i,+739235-25106.3i,+465230+236830i,+95922.5+244983i
2016-06-03 20:00:00 PDT,-0+0i,-0+0i,+1.31331e+06-332369i,+0+0j,+0+0j,+0+0j,+1.29395e+06-345992i,-0+0i,+112817+232.1i,+1.17652e+06-355123i,+51369.9+113.593i,-0+0i,+440375-341091i,+42021.8+21022.6i,+9301.69-20956.1i,+0+0j,+0+0j,+46170.8-42637i,+78991.6-63698.7i,+17990.6-42677.7i,-0+0i,+79015-63807.8i,-0+0i,+79027.4-63914.3i,+17971.4-42798.3i,+61047.8-21223i,+17964.2-42828.4i,-0+0i,+17955.9-42847.8i,+43090.3+21559.8i,-7.0853e-06-5.68329e-06i,-7.10296e-06-5.6869e-06i,+0+0j,+0+0j,+42819.8+21460.9i,+239405-244538i,+42787+21407.8i,-0+0i,+0+0j,-0+0i,+239078-245050i,-0+0i,+225773-245556i,+23836.3-21425.3i,+201669-224554i,+14982.7+2.76937i,+75319.7+53815.4i,+102882-240649i,+64384.8-240971i,+64225.6-241291i,+46167.7-241571i,+679342-30720.6i,+648500-33149.7i,+21001.6+10503.1i,+562040+294756i,+1.55385e-08+2.47864e-08i,-0+0i,+559973+291290i,+0+0j,-6.68711e-07-9.41688e-06i,+138226+411.725i,+169096-11829.6i,+148815+245698i,+120866+259.594i,+69948+99.3089i,+56915.2+35.6992i,-0+0i,+168865-11834.5i,+0+0j,+0+0j,+74979.4-200478i,+44278.7+294039i,+74894.5-200764i,+44304.6+22166.1i,+30561.5-223014i,+30468.6-223514i,+30321.9-224071i,-0+0i,+74.2803-224312i,+0+0j,+43107.7+291827i,+50798.7-53621.8i,-8444.04+344029i,-0+0i,-8974.7+342876i,-0+0i,-9456.92+342018i,-9857.11+341118i,+4.30792e-07-8.36041e-07i,-0+0i,+50766.4+18.092i,+1.04024e-05+3.97196e-07i,+1.03942e-05+4.02957e-07i,+1.03927e-05+4.22917e-07i,-0+0i,+97855.9+244974i,+0+0j,+0+0j,-0+0i,+97726.2+244507i,+0+0j,+142873+577.049i,-45203.1+243410i,+83707.8+206.693i,+21680.8+10.9755i,+61942.9+110.528i,+53312.4+21772.6i,+9841.27+1.28303i,+313362-240336i,+1.36388e+06-313011i,+730481-25051.5i,+457471+236154i,+97952.1+245287i
2016-06-03 21:00:00 PDT,-0+0i,-0+0i,+1.16803e+06-339894i,+0+0j,+0+0j,+0+0j,+1.15222e+06-350932i,-0+0i,+100978+269.023i,+1.04738e+06-358428i,+51574.7+174.345i,-0+0i,+397271-340188i,+42147.4+21085.5i,+9380.54-20958.5i,+0+0j,+0+0j,+42190.8-42631.1i,+79557-63609.9i,+18214.4-42668.1i,-0+0i,+79568.3-63713.5i,-0+0i,+79570.7-63815.6i,+18184-42776.1i,+61372.1-21143.8i,+18176.2-42805.2i,-0+0i,+18167.9-42824.6i,+43200.8+21615.7i,-7.40807e-09-1.32386e-05i,-1.54058e-08-1.32123e-05i,+0+0j,+0+0j,+42974.6+21539.3i,+205695-246556i,+42942.6+21485.7i,-0+0i,+0+0j,-0+0i,+205415-247003i,-0+0i,+194660-247446i,+21166.3-21426.1i,+173257-226396i,+12181.8+1.82291i,+75653.4+54053.9i,+73911.3-242728i,+42648.9-243031i,+42493.8-243338i,+27566.8-243613i,+604904-31697.5i,+578724-33652.9i,+21106.9+10556i,+516283+295141i,-3.94638e-09-1.05448e-09i,-0+0i,+514432+292006i,+0+0j,-1.38718e-05-6.02948e-07i,+110557+260.829i,+168058-12501.7i,+140125+247765i,+96271.9+164.055i,+55932.2+62.9813i,+45422.3+22.5785i,-0+0i,+167816-12526.6i,+0+0j,+0+0j,+70758.9-201563i,+46671.3+294408i,+70657.6-201850i,+44548.6+22288.3i,+26077.7-224219i,+25970.8-224707i,+25819.9-225240i,-0+0i,+75.0278-225479i,+0+0j,+45546+292196i,+40272-53936.6i,+4548.32+344708i,-0+0i,+4024.91+343549i,-0+0i,+3552.07+342688i,+3156.92+341795i,+6.22291e-06-4.17849e-06i,-0+0i,+40242.4+11.8722i,+1.01101e-05+1.37906e-06i,+1.01079e-05+1.39458e-06i,+1.01024e-05+1.39957e-06i,-0+0i,+99693.8+247039i,+0+0j,+0+0j,-0+0i,+99567+246579i,+0+0j,+126131+605.87i,-26636.8+245455i,+78768+318.856i,+18217.6+7.69951i,+60476.5+236.198i,+51672+21910.3i,+7920.81+0.825737i,+273722-238811i,+1.20802e+06-324327i,+645322-27216.3i,+419951+237248i,+99791.6+247369i
