,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
120,WECCbus157,1.0256558,-0.85878901,3.3460966,-0.24036493,january,20,1,weekday,
126,WECCbus157,1.0260451,-0.85396377,3.3082377999999997,-0.24266618,january,21,1,weekday,
132,WECCbus157,1.0270972,-0.84064096,3.2041972000000003,-0.24874887,january,22,1,weekday,
138,WECCbus157,1.0286222,-0.82021878,3.0449522,-0.25635285,january,23,1,weekday,
144,WECCbus157,1.0298838,-0.80226949,2.9047702999999996,-0.26155014,january,0,3,weekend,
150,WECCbus157,1.0306773,-0.79037311,2.811761,-0.26414893,january,1,3,weekend,
156,WECCbus157,1.030979,-0.78568659,2.7755303,-0.26497926,january,2,3,weekend,
162,WECCbus157,1.0310711,-0.78423425,2.764422,-0.26521721,january,3,3,weekend,
168,WECCbus157,1.0310898000000002,-0.78394338,2.7621331000000002,-0.2652676,january,4,3,weekend,
174,WECCbus157,1.0308685,-0.78736861,2.7889547,-0.26464228,january,5,3,weekend,
180,WECCbus157,1.0302248,-0.79713415,2.86515,-0.26261423,january,6,3,weekend,
186,WECCbus157,1.0291076,-0.81318746,2.9930347999999998,-0.25828764,january,7,3,weekend,
192,WECCbus157,1.0286575,-0.81905357,3.0442398999999996,-0.25602285,january,8,3,weekend,
198,WECCbus157,1.0293433,-0.81003709,2.9659972999999997,-0.25941099,january,9,3,weekend,
204,WECCbus157,1.0300757,-0.79943356,2.8825959,-0.26221728,january,10,3,weekend,
210,WECCbus157,1.0303919,-0.79471289,2.8459749,-0.26331461,january,11,3,weekend,
216,WECCbus157,1.0303498,-0.79537447,2.850798,-0.26320001,january,12,3,weekend,
222,WECCbus157,1.0304274,-0.79424912,2.8413532000000004,-0.26346828,january,13,3,weekend,
228,WECCbus157,1.0304719,-0.79354362,2.8362464,-0.26358392,january,14,3,weekend,
234,WECCbus157,1.0304878,-0.79335891,2.8339269,-0.26365341,january,15,3,weekend,
240,WECCbus157,1.0302102,-0.79754846,2.8663654,-0.26275132,january,16,3,weekend,
246,WECCbus157,1.0288370999999998,-0.81748459,3.0201642000000004,-0.25745318,january,17,3,weekend,
252,WECCbus157,1.0261323,-0.8529940999999999,3.2990517,-0.24324829999999997,january,18,3,weekend,
258,WECCbus157,1.0250226999999998,-0.86643029,3.4054800000000003,-0.23625805,january,19,3,weekend,
264,WECCbus157,1.0251333,-0.86507452,3.395393,-0.23696838,january,20,3,weekend,
270,WECCbus157,1.02554,-0.86016252,3.3564991,-0.23950592,january,21,3,weekend,
276,WECCbus157,1.0266708,-0.84609723,3.2466675,-0.24631313,january,22,3,weekend,
282,WECCbus157,1.0282946,-0.82477231,3.0797211,-0.25486653,january,23,3,weekend,
0,WECCbus54,0.9935159,-1.7575343999999997,2.8621619,0.57638068,january,0,1,weekday,
6,WECCbus54,1.0157425,-1.7283721,2.4019726,-0.14055491,january,1,1,weekday,
12,WECCbus54,1.0160075000000002,-1.7240830000000003,2.3699898,-0.1419373,january,2,1,weekday,
18,WECCbus54,1.0160874,-1.7227871,2.3611597,-0.14230014,january,3,1,weekday,
24,WECCbus54,1.0161166,-1.7223651999999998,2.3578316000000004,-0.14244366,january,4,1,weekday,
30,WECCbus54,1.0159183,-1.7255167000000002,2.3845441000000003,-0.14127422,january,5,1,weekday,
36,WECCbus54,1.0153557,-1.7344656000000003,2.4524614,-0.13817433,january,6,1,weekday,
42,WECCbus54,1.0144749,-1.7484056000000001,2.5580814999999997,-0.13274561,january,7,1,weekday,
48,WECCbus54,1.0141623,-1.7535034,2.5907886,-0.13088152,january,8,1,weekday,
54,WECCbus54,1.0142957000000001,-1.7508863999999997,2.572098,-0.13198942,january,9,1,weekday,
60,WECCbus54,1.0149073,-1.7415697,2.4950620999999997,-0.13623020000000002,january,10,1,weekday,
66,WECCbus54,1.0151796,-1.7373026000000003,2.4592294999999997,-0.13810693,january,11,1,weekday,
72,WECCbus54,1.0151362,-1.737941,2.4601238999999997,-0.13812617,january,12,1,weekday,
78,WECCbus54,1.0151825,-1.7371598000000001,2.4524576000000002,-0.13853344,january,13,1,weekday,
84,WECCbus54,1.0151888,-1.7370275000000002,2.449396,-0.13869782,january,14,1,weekday,
90,WECCbus54,1.0151783,-1.7371394,2.4488357000000005,-0.13872025,january,15,1,weekday,
96,WECCbus54,1.0149277,-1.7410256999999998,2.4788562,-0.1372234,january,16,1,weekday,
102,WECCbus54,1.0136578,-1.7598586999999999,2.6294841,-0.12865948,january,17,1,weekday,
108,WECCbus54,1.0117829,-1.7864508000000001,2.8347037999999998,-0.11448552,january,18,1,weekday,
114,WECCbus54,1.0109921,-1.7971872,2.9157349,-0.10798157,january,19,1,weekday,
120,WECCbus54,1.0110963,-1.7958526000000001,2.9070644,-0.10869656,january,20,1,weekday,
126,WECCbus54,1.0114306999999998,-1.791349,2.8743828,-0.11129551,january,21,1,weekday,
132,WECCbus54,1.0123555,-1.778759,2.7801158999999998,-0.11848704,january,22,1,weekday,
138,WECCbus54,1.0137154000000002,-1.7593991000000002,2.6342742,-0.12823884,january,23,1,weekday,
144,WECCbus54,1.0148457,-1.7424428,2.506961,-0.13550317,january,0,3,weekend,
150,WECCbus54,1.0155565999999998,-1.7312521,2.4266315,-0.13937841,january,1,3,weekend,
156,WECCbus54,1.0158397,-1.7267384999999997,2.3939937000000002,-0.14083528,january,2,3,weekend,
162,WECCbus54,1.0159272,-1.7253201,2.3865187999999997,-0.14111823,january,3,3,weekend,
168,WECCbus54,1.0159437,-1.7250503000000001,2.3845963,-0.14120284,january,4,3,weekend,
174,WECCbus54,1.0157432,-1.7282733000000001,2.4106139,-0.14003144,january,5,3,weekend,
180,WECCbus54,1.0151588,-1.7375144,2.4802574,-0.13672405,january,6,3,weekend,
186,WECCbus54,1.0142248999999999,-1.7520405,2.5928736,-0.13062699,january,7,3,weekend,
192,WECCbus54,1.0139897,-1.7561556,2.6148417999999998,-0.12937605,january,8,3,weekend,
198,WECCbus54,1.0143715,-1.7496571,2.5663589,-0.1321911,january,9,3,weekend,
204,WECCbus54,1.0150208,-1.7397586999999999,2.4834294999999997,-0.13676247,january,10,3,weekend,
210,WECCbus54,1.0153178,-1.7352127,2.4436652000000003,-0.13881161,january,11,3,weekend,
216,WECCbus54,1.0152741,-1.7359081000000003,2.444541,-0.13883778,january,12,3,weekend,
222,WECCbus54,1.0153287,-1.7350031000000004,2.4347733,-0.1393326,january,13,3,weekend,
228,WECCbus54,1.0153816999999998,-1.7342256999999999,2.4269597000000003,-0.13972184,january,14,3,weekend,
234,WECCbus54,1.0153713,-1.7342806,2.4280019,-0.13963909,january,15,3,weekend,
240,WECCbus54,1.0151117,-1.7383117,2.4587947,-0.13815183,january,16,3,weekend,
246,WECCbus54,1.0138129999999999,-1.7576741000000002,2.6136867,-0.12956669,january,17,3,weekend,
252,WECCbus54,1.0114573,-1.7908422999999998,2.8676703,-0.11181727,january,18,3,weekend,
258,WECCbus54,1.0105341,-1.8031475,2.9606665,-0.10405576,january,19,3,weekend,
264,WECCbus54,1.010646,-1.8017404,2.9513825000000002,-0.10485821,january,20,3,weekend,
270,WECCbus54,1.0109823,-1.7972495,2.919165,-0.1075422,january,21,3,weekend,
276,WECCbus54,1.0119737,-1.7839578,2.819891,-0.11543934,january,22,3,weekend,
282,WECCbus54,1.0134001,-1.7639046999999999,2.6676014,-0.12612986,january,23,3,weekend,
0,WECCbus57,0.99343964,-1.748537,2.6546991,0.53686136,january,0,1,weekday,
6,WECCbus57,1.0127163000000001,-1.7209011000000003,2.1723485,-0.18041335,january,1,1,weekday,
12,WECCbus57,1.0129569,-1.7167086999999999,2.1367443,-0.18203945,january,2,1,weekday,
18,WECCbus57,1.0130299999999999,-1.7154378000000001,2.1249256,-0.18258270000000001,january,3,1,weekday,
24,WECCbus57,1.0130567,-1.7150256000000001,2.1208305,-0.18277688,january,4,1,weekday,
30,WECCbus57,1.0128784,-1.7180915,2.1442607999999996,-0.18175038,january,5,1,weekday,
36,WECCbus57,1.0123681999999998,-1.7268333999999999,2.2179166,-0.17820111,january,6,1,weekday,
42,WECCbus57,1.0115712,-1.7404463,2.3277514,-0.17235161,january,7,1,weekday,
48,WECCbus57,1.0112856,-1.7454492,2.3704438999999997,-0.16974175,january,8,1,weekday,
54,WECCbus57,1.0114041999999999,-1.7428956000000002,2.3572034,-0.17045769,january,9,1,weekday,
60,WECCbus57,1.0119540999999999,-1.7338265,2.2881812000000004,-0.17434192,january,10,1,weekday,
66,WECCbus57,1.0121983,-1.7296758999999997,2.2582151,-0.1759815,january,11,1,weekday,
72,WECCbus57,1.012156,-1.7303194,2.2688224999999997,-0.17534922,january,12,1,weekday,
78,WECCbus57,1.0121965,-1.7295656000000004,2.2654422000000003,-0.17550455,january,13,1,weekday,
84,WECCbus57,1.0122006,-1.7294467,2.2672557999999996,-0.17535437,january,14,1,weekday,
90,WECCbus57,1.0121898999999999,-1.7295633999999998,2.2704655,-0.17511544,january,15,1,weekday,
96,WECCbus57,1.0119628,-1.733357,2.3017785,-0.17338278,january,16,1,weekday,
102,WECCbus57,1.0108155,-1.7517168,2.4509703999999997,-0.16410105,january,17,1,weekday,
108,WECCbus57,1.0091191,-1.7776672999999998,2.6648264,-0.14808662,january,18,1,weekday,
114,WECCbus57,1.0084030000000002,-1.7881512,2.7525396,-0.14052954,january,19,1,weekday,
120,WECCbus57,1.0084989,-1.7868404999999998,2.7390512000000005,-0.14179238,january,20,1,weekday,
126,WECCbus57,1.0088031,-1.7824360000000001,2.7001075,-0.14513854,january,21,1,weekday,
132,WECCbus57,1.0096424000000002,-1.7701354,2.5936212000000003,-0.15397218,january,22,1,weekday,
138,WECCbus57,1.0108761999999998,-1.7512226999999998,2.4314569,-0.16568977,january,23,1,weekday,
144,WECCbus57,1.0119018,-1.7346544999999998,2.2902125,-0.17435787,january,0,3,weekend,
150,WECCbus57,1.0125494000000002,-1.7237017,2.1937881,-0.17939789,january,1,3,weekend,
156,WECCbus57,1.0128072,-1.7192845,2.1546175,-0.18126414,january,2,3,weekend,
162,WECCbus57,1.0128886000000001,-1.7178830000000003,2.1391885,-0.18202184,january,3,3,weekend,
168,WECCbus57,1.0129037,-1.7176189,2.1368793,-0.18213052,january,4,3,weekend,
174,WECCbus57,1.0127229,-1.7207598000000002,2.1614516,-0.18101687,january,5,3,weekend,
180,WECCbus57,1.0121929,-1.729789,2.2377466,-0.17722456,january,6,3,weekend,
186,WECCbus57,1.0113495000000001,-1.7439628,2.350722,-0.17103324,january,7,3,weekend,
192,WECCbus57,1.0111325999999998,-1.7480193,2.3861277000000003,-0.16882877,january,8,3,weekend,
198,WECCbus57,1.0114754000000001,-1.7416782,2.3438048,-0.17127838,january,9,3,weekend,
204,WECCbus57,1.0120584000000001,-1.7320478,2.2715758999999998,-0.1753009,january,10,3,weekend,
210,WECCbus57,1.0123245,-1.727632,2.2394456000000003,-0.17700441,january,11,3,weekend,
216,WECCbus57,1.0122817,-1.7283327000000002,2.2503344,-0.17637631,january,12,3,weekend,
222,WECCbus57,1.012329,-1.7274633999999998,2.2470222,-0.1764797,january,13,3,weekend,
228,WECCbus57,1.012376,-1.7267126,2.2420597,-0.17671924,january,14,3,weekend,
234,WECCbus57,1.0123666,-1.7267644,2.2432351,-0.17661316,january,15,3,weekend,
240,WECCbus57,1.0121311,-1.7307015,2.276516,-0.17482421,january,16,3,weekend,
246,WECCbus57,1.0109575000000002,-1.7495781000000004,2.4305318,-0.16553503,january,17,3,weekend,
252,WECCbus57,1.008824,-1.781957,2.7014811,-0.14491951,january,18,3,weekend,
258,WECCbus57,1.0079878,-1.7939721999999998,2.8026988999999998,-0.13579944,january,19,3,weekend,
264,WECCbus57,1.0080907,-1.792591,2.7885899,-0.13717385,january,20,3,weekend,
270,WECCbus57,1.0083966999999998,-1.7881977999999998,2.7498357,-0.14065774,january,21,3,weekend,
276,WECCbus57,1.0092966,-1.775211,2.63692,-0.15042511,january,22,3,weekend,
282,WECCbus57,1.0105894,-1.7556283,2.4709144,-0.16297805,january,23,3,weekend,
0,WECCbus157,1.0154698,-0.80895408,3.0261449000000002,0.21853686,february,0,5,weekday,
6,WECCbus157,1.0309263000000002,-0.78646281,2.7822709,-0.26482466,february,1,5,weekday,
12,WECCbus157,1.0312135,-0.78194325,2.7473604,-0.26555733,february,2,5,weekday,
18,WECCbus157,1.0313084000000001,-0.78045737,2.7356122000000003,-0.26580252,february,3,5,weekday,
24,WECCbus157,1.0313248,-0.78013534,2.7338928,-0.26580167,february,4,5,weekday,
30,WECCbus157,1.0311236,-0.78331419,2.7585298,-0.26529394,february,5,5,weekday,
36,WECCbus157,1.0304924000000002,-0.79299608,2.8344577,-0.26342859999999996,february,6,5,weekday,
42,WECCbus157,1.0295473,-0.80649227,2.9461333,-0.25980201,february,7,5,weekday,
48,WECCbus157,1.0292228,-0.81159648,2.9801159999999998,-0.25880249,february,8,5,weekday,
54,WECCbus157,1.0294444999999999,-0.80856639,2.9548755,-0.25981350000000003,february,9,5,weekday,
60,WECCbus157,1.0300322,-0.79997742,2.8879786,-0.26198009,february,10,5,weekday,
66,WECCbus157,1.03031,-0.79593794,2.8555662999999996,-0.26303864,february,11,5,weekday,
72,WECCbus157,1.0302657,-0.79670123,2.8602575,-0.26295841,february,12,5,weekday,
78,WECCbus157,1.0303108,-0.7960050999999999,2.8551275,-0.26309915,february,13,5,weekday,
84,WECCbus157,1.0302883,-0.79633242,2.8576959,-0.2630052,february,14,5,weekday,
90,WECCbus157,1.0302769,-0.79645861,2.8590694,-0.26291701,february,15,5,weekday,
96,WECCbus157,1.0300395,-0.80005456,2.8862702000000002,-0.26213666,february,16,5,weekday,
102,WECCbus157,1.0288064000000001,-0.81771178,3.0241119,-0.25713565,february,17,5,weekday,
108,WECCbus157,1.0271848,-0.83985038,3.1933147999999996,-0.24942638,february,18,5,weekday,
114,WECCbus157,1.0259181999999998,-0.85556561,3.3203451,-0.24191342,february,19,5,weekday,
120,WECCbus157,1.0257379999999998,-0.85775107,3.33819,-0.24082898,february,20,5,weekday,
126,WECCbus157,1.0259747,-0.85475519,3.3153669999999997,-0.24217059,february,21,5,weekday,
132,WECCbus157,1.0270982,-0.84061452,3.2040995999999997,-0.2487364,february,22,5,weekday,
138,WECCbus157,1.0286499,-0.81976283,3.0422562,-0.25642170000000003,february,23,5,weekday,
144,WECCbus157,1.0299129999999999,-0.80179558,2.9016043,-0.26162236,february,0,6,weekend,
150,WECCbus157,1.0307312,-0.7895205,2.8054516,-0.2642897,february,1,6,weekend,
156,WECCbus157,1.0310433,-0.7847109999999999,2.7676003,-0.26517187,february,2,6,weekend,
162,WECCbus157,1.0311359,-0.78318324,2.7567049999999997,-0.26536416,february,3,6,weekend,
168,WECCbus157,1.0311578000000001,-0.78283962,2.7540283,-0.26542065,february,4,6,weekend,
174,WECCbus157,1.030935,-0.78627559,2.7812713,-0.26478848,february,5,6,weekend,
180,WECCbus157,1.0302594999999999,-0.79649149,2.8617246,-0.26264693,february,6,6,weekend,
186,WECCbus157,1.029234,-0.81086452,2.9815932999999997,-0.25844679,february,7,6,weekend,
192,WECCbus157,1.0289977,-0.81477076,3.0049943,-0.25784954,february,8,6,weekend,
198,WECCbus157,1.0294887,-0.80790107,2.9499478999999997,-0.25995247,february,9,6,weekend,
204,WECCbus157,1.0301178,-0.79871043,2.8781787,-0.26229338,february,10,6,weekend,
210,WECCbus157,1.0303870000000002,-0.79470836,2.8469048,-0.26324278,february,11,6,weekend,
216,WECCbus157,1.0303288000000002,-0.79564768,2.8534317000000002,-0.26309682,february,12,6,weekend,
222,WECCbus157,1.0303434,-0.79537272,2.851858,-0.26309297,february,13,6,weekend,
228,WECCbus157,1.0303888,-0.79473854,2.8462512,-0.26327118,february,14,6,weekend,
234,WECCbus157,1.0303564,-0.79511696,2.8504087000000005,-0.26306914,february,15,6,weekend,
240,WECCbus157,1.0300757999999999,-0.79931689,2.8829521000000002,-0.26211895,february,16,6,weekend,
246,WECCbus157,1.0288211,-0.81742744,3.0229741000000003,-0.2571546,february,17,6,weekend,
252,WECCbus157,1.0267594,-0.84533847,3.2357647999999997,-0.24703971,february,18,6,weekend,
258,WECCbus157,1.0253306,-0.86276361,3.3759648999999996,-0.23820998,february,19,6,weekend,
264,WECCbus157,1.0251610999999998,-0.86484411,3.3921582999999997,-0.23720585,february,20,6,weekend,
270,WECCbus157,1.0254189,-0.86164418,3.3679193,-0.23874435,february,21,6,weekend,
276,WECCbus157,1.0266136000000001,-0.84687717,3.2520755,-0.24602089,february,22,6,weekend,
282,WECCbus157,1.0282753,-0.82503788,3.0817331,-0.25477311,february,23,6,weekend,
0,WECCbus54,0.9935159,-1.7575343999999997,2.8621619,0.57638068,february,0,5,weekday,
6,WECCbus54,1.0158224,-1.7272378000000002,2.3832543999999998,-0.14153202,february,1,5,weekday,
12,WECCbus54,1.0160935,-1.7228743999999998,2.3507724999999997,-0.142897,february,2,5,weekday,
18,WECCbus54,1.0161753,-1.7215126,2.3415069,-0.14326307,february,3,5,weekday,
24,WECCbus54,1.0162105,-1.7210083999999999,2.3386372000000004,-0.14336609,february,4,5,weekday,
30,WECCbus54,1.0160211,-1.7240659999999999,2.3637278999999998,-0.14231282,february,5,5,weekday,
36,WECCbus54,1.0154579,-1.7331296999999999,2.4327786,-0.13925746,february,6,5,weekday,
42,WECCbus54,1.0147874,-1.7442552,2.5158923,-0.13518252,february,7,5,weekday,
48,WECCbus54,1.0143282,-1.7505960999999999,2.5648958,-0.13241729,february,8,5,weekday,
54,WECCbus54,1.014483,-1.7481323,2.5448326,-0.13361378,february,9,5,weekday,
60,WECCbus54,1.0150190000000001,-1.7399595,2.4795496,-0.13708017,february,10,5,weekday,
66,WECCbus54,1.0152464,-1.7363592,2.4512728999999998,-0.13851823,february,11,5,weekday,
72,WECCbus54,1.0151702,-1.7374116000000002,2.4604283,-0.13805969,february,12,5,weekday,
78,WECCbus54,1.0152191,-1.7366773000000002,2.4555295,-0.13830549,february,13,5,weekday,
84,WECCbus54,1.0151969,-1.7369953999999999,2.4607141,-0.13800573,february,14,5,weekday,
90,WECCbus54,1.0151954,-1.7370248,2.4630628,-0.13783624,february,15,5,weekday,
96,WECCbus54,1.0149539,-1.7406602999999998,2.493291,-0.136278,february,16,5,weekday,
102,WECCbus54,1.0138428,-1.7573697,2.6212294,-0.12905868,february,17,5,weekday,
108,WECCbus54,1.0122778000000001,-1.7792731,2.7933592999999997,-0.11745105,february,18,5,weekday,
114,WECCbus54,1.0113048,-1.7929781000000002,2.8893842,-0.11010332,february,19,5,weekday,
120,WECCbus54,1.0111722,-1.7948343999999998,2.9025196,-0.10904154,february,20,5,weekday,
126,WECCbus54,1.0114003,-1.7918509999999999,2.8781812,-0.11099317,february,21,5,weekday,
132,WECCbus54,1.0123625,-1.7786964,2.7771936000000004,-0.11873009,february,22,5,weekday,
138,WECCbus54,1.0137714,-1.7587213,2.6231603999999997,-0.12899845,february,23,5,weekday,
144,WECCbus54,1.0148937,-1.7418278000000003,2.4948837999999998,-0.13622961,february,0,6,weekend,
150,WECCbus54,1.0156222,-1.7303244999999998,2.4114602,-0.14019968,february,1,6,weekend,
156,WECCbus54,1.0158966,-1.7258657,2.3795604999999997,-0.14158047,february,2,6,weekend,
162,WECCbus54,1.0160084999999999,-1.7241581999999998,2.3668788,-0.14212392,february,3,6,weekend,
168,WECCbus54,1.0160291,-1.7238299,2.3638775,-0.14226037,february,4,6,weekend,
174,WECCbus54,1.0158374,-1.7269713,2.3880876,-0.14122488,february,5,6,weekend,
180,WECCbus54,1.0152453000000001,-1.7364477999999999,2.4597819,-0.13792047,february,6,6,weekend,
186,WECCbus54,1.0145465,-1.7480488999999997,2.5449235,-0.13358751,february,7,6,weekend,
192,WECCbus54,1.0141268,-1.7535845,2.5904932,-0.13088263,february,8,6,weekend,
198,WECCbus54,1.0145267,-1.7474478999999998,2.5426482999999998,-0.13362192,february,9,6,weekend,
204,WECCbus54,1.0150960999999998,-1.738747,2.4727086,-0.13735897,february,10,6,weekend,
210,WECCbus54,1.0153415000000001,-1.7349549,2.4403381,-0.1390029,february,11,6,weekend,
216,WECCbus54,1.0152678,-1.7360445,2.4472454,-0.13869475,february,12,6,weekend,
222,WECCbus54,1.0152978000000001,-1.7356345000000002,2.4431706,-0.13889507,february,13,6,weekend,
228,WECCbus54,1.0153192,-1.735212,2.4420099,-0.13891964,february,14,6,weekend,
234,WECCbus54,1.015324,-1.7352576000000002,2.4412493,-0.13895396,february,15,6,weekend,
240,WECCbus54,1.0150634,-1.7392942999999998,2.4725778,-0.13740897,february,16,6,weekend,
246,WECCbus54,1.0138950999999998,-1.7567846,2.6076908,-0.12993072,february,17,6,weekend,
252,WECCbus54,1.0118909,-1.7845508999999997,2.8282896,-0.11478631,february,18,6,weekend,
258,WECCbus54,1.0107709,-1.7999321,2.9402892999999994,-0.10577162,february,19,6,weekend,
264,WECCbus54,1.0106186,-1.8019139,2.9566491000000004,-0.10436844,february,20,6,weekend,
270,WECCbus54,1.0108706,-1.7986924,2.9308802000000003,-0.10654775,february,21,6,weekend,
276,WECCbus54,1.0119018,-1.7848712,2.8264972000000004,-0.1149386,february,22,6,weekend,
282,WECCbus54,1.0133818,-1.7641689999999999,2.6688652999999998,-0.12605493,february,23,6,weekend,
0,WECCbus57,0.99343964,-1.748537,2.6546991,0.53686136,february,0,5,weekday,
6,WECCbus57,1.0127825000000001,-1.7198404999999999,2.1730019,-0.18025988,february,1,5,weekday,
12,WECCbus57,1.0130289000000001,-1.7155745999999998,2.1361275,-0.1819498,february,2,5,weekday,
18,WECCbus57,1.0131038,-1.7142394,2.1241127,-0.18249298,february,3,5,weekday,
24,WECCbus57,1.0131367,-1.7137413000000001,2.1177603,-0.18280066,february,4,5,weekday,
30,WECCbus57,1.0129659,-1.7167194,2.1409905,-0.18179057,february,5,5,weekday,
36,WECCbus57,1.0124554000000001,-1.7255715,2.2143083,-0.17829796,february,6,5,weekday,
42,WECCbus57,1.0118495,-1.7364369,2.2971869,-0.17408132,february,7,5,weekday,
48,WECCbus57,1.011431,-1.7426338,2.3576124,-0.17038781,february,8,5,weekday,
54,WECCbus57,1.0115696,-1.7402358,2.3411781000000005,-0.17134225,february,9,5,weekday,
60,WECCbus57,1.0120536,-1.7322683,2.2771851,-0.17492594,february,10,5,weekday,
66,WECCbus57,1.0122588,-1.7287572,2.2499493,-0.17643125,february,11,5,weekday,
72,WECCbus57,1.0121898,-1.7297811,2.2593077999999998,-0.1759224,february,12,5,weekday,
78,WECCbus57,1.0122348,-1.7290603,2.2520876,-0.1763304,february,13,5,weekday,
84,WECCbus57,1.0122164,-1.7293579,2.2517563,-0.17636929,february,14,5,weekday,
90,WECCbus57,1.0122167,-1.7293759999999998,2.2491727999999998,-0.17651070000000002,february,15,5,weekday,
96,WECCbus57,1.0119989999999999,-1.7329157,2.277591,-0.17498072,february,16,5,weekday,
102,WECCbus57,1.0109924000000001,-1.7492310000000002,2.4142035,-0.16671333,february,17,5,weekday,
108,WECCbus57,1.0095764,-1.7705988999999998,2.5954045,-0.15377435,february,18,5,weekday,
114,WECCbus57,1.0086906999999998,-1.7840146000000001,2.7115581000000004,-0.14417653,february,19,5,weekday,
120,WECCbus57,1.0085704,-1.7858307,2.7268511,-0.14288783,february,20,5,weekday,
126,WECCbus57,1.0087760000000001,-1.782925,2.702834,-0.14491875,february,21,5,weekday,
132,WECCbus57,1.009647,-1.7700859,2.5955249,-0.15380102,february,22,5,weekday,
138,WECCbus57,1.0109231,-1.750588,2.4308322,-0.16567733,february,23,5,weekday,
144,WECCbus57,1.0119406,-1.7340883999999999,2.2921787,-0.17416607,february,0,6,weekend,
150,WECCbus57,1.0126037,-1.7228339,2.1942636,-0.1792781,february,1,6,weekend,
156,WECCbus57,1.0128537,-1.7184694999999999,2.1562327999999997,-0.18108155,february,2,6,weekend,
162,WECCbus57,1.0129556999999998,-1.7167988999999997,2.1403981,-0.18182848,february,3,6,weekend,
168,WECCbus57,1.0129741,-1.7164806000000001,2.1382477000000004,-0.18192035,february,4,6,weekend,
174,WECCbus57,1.0128006,-1.7195470000000002,2.1628732999999998,-0.1807979,february,5,6,weekend,
180,WECCbus57,1.0122638000000002,-1.728804,2.239632,-0.17700146,february,6,6,weekend,
186,WECCbus57,1.0116319,-1.7401396,2.3261218999999995,-0.17242711,february,7,6,weekend,
192,WECCbus57,1.0112505999999999,-1.7455386999999998,2.3790359,-0.16910879,february,8,6,weekend,
198,WECCbus57,1.0116116,-1.7395526999999997,2.3319771,-0.17191363,february,9,6,weekend,
204,WECCbus57,1.0121252,-1.7310724999999998,2.2645824,-0.17566849,february,10,6,weekend,
210,WECCbus57,1.0123455,-1.7273855,2.2372856,-0.17711991,february,11,6,weekend,
216,WECCbus57,1.0122773,-1.7284574000000001,2.2489091,-0.17648158,february,12,6,weekend,
222,WECCbus57,1.0123041,-1.7280608,2.2456967999999997,-0.17662676,february,13,6,weekend,
228,WECCbus57,1.0123246,-1.7276392,2.2410831,-0.17688137,february,14,6,weekend,
234,WECCbus57,1.0123288000000001,-1.7276874,2.2407931,-0.17687131,february,15,6,weekend,
240,WECCbus57,1.0120927,-1.7316275,2.2735707,-0.17511884,february,16,6,weekend,
246,WECCbus57,1.0110341,-1.7487015,2.4173276,-0.16645252,february,17,6,weekend,
252,WECCbus57,1.0092216999999999,-1.7757778999999998,2.645568,-0.14960931,february,18,6,weekend,
258,WECCbus57,1.0082050999999999,-1.7908146,2.7728641,-0.13853982,february,19,6,weekend,
264,WECCbus57,1.0080681999999999,-1.7927433000000002,2.7881351000000003,-0.1372013,february,20,6,weekend,
270,WECCbus57,1.0082959999999999,-1.7896032,2.7613689999999997,-0.13960720000000001,february,21,6,weekend,
