# file...... Overhead_lines_power_in_A.csv
# date...... Fri Oct 27 14:51:54 2017
# user...... mast9
# host...... (null)
# group..... class= overhead_line
# property.. power_in_A
# limit..... -1
# interval.. 3600
# timestamp,O1-2,O1-3,O1-7,O3-4,O3-5,O5-6,O7-8,O8-12,O8-9,O8-13,O1401-14,O13-34,O13-18,O14-11,O14-10,O15-16,O15-17,O18-19,O18-21,O19-20,O21-22,O21-23,O23-24,O23-25,O2601-26,O25-28,O26-27,O26-31,O27-33,O28-29,O29-30,O30-250,O31-32,O34-15,O35-36,O35-40,O36-37,O36-38,O38-39,O40-41,O40-42,O42-43,O42-44,O44-45,O44-47,O45-46,O47-48,O47-49,O49-50,O50-51,O51-151,O52-53,O53-54,O54-55,O54-57,O55-56,O57-58,O57-60,O58-59,O60-61,O67-68,O67-72,O67-97,O68-69,O69-70,O70-71,O72-73,O72-76,O73-74,O74-75,O76-77,O76-86,O77-78,O78-79,O78-80,O80-81,O81-82,O81-84,O82-83,O84-85,O86-87,O87-88,O87-89,O89-90,O89-91,O91-92,O91-93,O93-94,O93-95,O95-96,O97-98,O98-99,O99-100,O100-450,O101-102,O101-105,O102-103,O103-104,O105-106,O105-108,O106-107,O108-109,O108-300,O109-110,O110-111,O110-112,O112-113,O113-114,O135-35,O149-1,O152-52,O6701-67,O197-101
2016-04-01 00:00:00 PDT,+0-0i,+0-0i,+1.03933e+06+151862i,+0+0j,+0+0j,+0+0j,+1.03043e+06+144390i,+0-0i,+89319.5+30671.6i,+938131+108787i,+62116.5+30587.6i,+0-0i,+406644-51827.2i,+41456.2+20739.7i,+20574.8+9761.29i,+0+0j,+0+0j,+56114.4+19067.6i,+124154+58959.5i,+41377.5+19030.2i,+0-0i,+124082+58813.5i,+0-0i,+124036+58673.8i,+41341.8+18913.8i,+82633.5+39597.4i,+41333.3+18890.4i,+0-0i,+41325+18871i,+41282.1+20656.7i,+6.94278e-06-1.1003e-06i,+6.95567e-06-1.04013e-06i,+0+0j,+0+0j,+41459.9+20769.5i,+169407-145733i,+41431.8+20729.7i,+0-0i,+0+0j,+0-0i,+169306-145926i,+0-0i,+164453-146117i,+26560.4+9441.92i,+137803-155737i,+5800.42+0.429482i,+72843.6+52046.4i,+28235.6-232122i,+10824-232425i,+10719.6-232738i,+2891.46-233033i,+506277+151916i,+490135+150623i,+20615+10310.5i,+477623+416496i,-3.78759e-09-2.73696e-09i,+0-0i,+475597+413107i,+0+0j,+7.01018e-06+2.73418e-05i,+57862.9+73.8382i,+218014+87475.3i,+122667+268195i,+50465.9+46.5267i,+29117.7+17.9344i,+24356.6+6.67273i,+0-0i,+217632+87206.9i,+0+0j,+0+0j,+59462.6-195301i,+55787.4+229520i,+59348.3-195571i,+43167.8+21597.4i,+16148.5-217240i,+16035.5-217689i,+15897-218161i,+0-0i,+67.51-218388i,+0+0j,+54970.4+228160i,+21343.3-52548.7i,+33095.3+279828i,+0-0i,+32679.7+279052i,+0-0i,+32354.5+278460i,+32088.2+277853i,-5.77745e-06+2.91865e-06i,+0-0i,+21319+3.85328i,-2.41068e-06+2.01588e-06i,-2.41462e-06+1.99871e-06i,-2.43292e-06+1.99569e-06i,+0-0i,+101125+267193i,+0+0j,+0+0j,+0-0i,+100986+266593i,+0+0j,+103133+30852.5i,-2266.66+235045i,+77400.1+30636.4i,+10512.6+2.65397i,+66802+30547.1i,+45768.7+21152.6i,+3520.17+0.168857i,+224476-132447i,+1.06178e+06+162214i,+527864+154743i,+399892+358172i,+101242+267686i
2016-04-01 11:00:00 PDT,-0+0i,-0+0i,+699137-355994i,+0+0j,+0+0j,+0+0j,+695576-360646i,-0+0i,+63671.8+421.704i,+630001-364163i,+52274.9+384.414i,-0+0i,+259029-335932i,+42576.9+21300.3i,+9650.54-20964.1i,+0+0j,+0+0j,+32857.2-42605.1i,+81482-63302i,+18968.1-42634.5i,-0+0i,+81451.6-63388.1i,-0+0i,+81419.3-63475.7i,+18901.3-42701.7i,+62480.7-20869.5i,+18891.3-42727.4i,-0+0i,+18883.1-42746.8i,+43588+21811.7i,+4.95997e-06-4.45682e-06i,+4.95993e-06-4.46189e-06i,+0+0j,+0+0j,+43514.6+21812.8i,+94020.8-252159i,+43485.4+21757.3i,-0+0i,+0+0j,-0+0i,+93853.9-252478i,-0+0i,+92656.8-252796i,+11448.5-21426.1i,+81042.5-231650i,+2020.05+0.0493922i,+76816.7+54885.1i,-20264.3-248869i,-27957-249169i,-28108.2-249475i,-32779.7-249776i,+364143-33719.2i,+349198-34493.6i,+21474.2+10740.4i,+369368+299015i,-1.49499e-08+1.77073e-08i,-0+0i,+368185+296786i,+0+0j,+1.21972e-06+1.56775e-06i,+15023.9+3.94362i,+169119-12795.8i,+109480+254380i,+10832.2+2.19171i,+6800.93+0.939201i,+5770.35+0.355572i,-0+0i,+168826-12895.1i,+0+0j,+0+0j,+60960.1-205379i,+54833.4+297778i,+60795-205666i,+45411.6+22720i,+15341.5-228458i,+15184.1-228905i,+15017-229360i,-0+0i,+77.7436-229595i,+0+0j,+53842.3+295529i,+4051.08-55027i,+49143.1+349089i,-0+0i,+48622.1+347869i,-0+0i,+48162.8+346964i,+47773.6+346062i,+1.06146e-05-6.28105e-06i,-0+0i,+4029.44+0.227822i,+3.41557e-06-3.89352e-06i,+3.40391e-06-3.91197e-06i,+3.38751e-06-3.9144e-06i,-0+0i,+105271+253635i,+0+0j,+0+0j,-0+0i,+105157+253190i,+0+0j,+71343.8+818.69i,+33685.4+251847i,+63265+728.655i,+8531.63+1.6516i,+54686.6+679.685i,+45294.9+22394.2i,+560.004+0.00403535i,+143084-232979i,+705047-349707i,+368539-32138.3i,+294459+242919i,+105371+254020i
2016-04-01 12:00:00 PDT,-0+0i,-0+0i,+698803-356107i,+0+0j,+0+0j,+0+0j,+695367-360761i,-0+0i,+63862.4+424.537i,+629616-364283i,+52285.3+387.031i,-0+0i,+258911-335929i,+42585.3+21304.5i,+9652.52-20965.7i,+0+0j,+0+0j,+32863.2-42610.2i,+81507.3-63305.5i,+18974.2-42639.6i,-0+0i,+81476.9-63391.6i,-0+0i,+81444.6-63479.2i,+18907.3-42706.8i,+62499.9-20868i,+18897.3-42732.4i,-0+0i,+18889.1-42751.8i,+43601.2+21818.3i,-6.39949e-06-5.29299e-07i,-6.4589e-06-5.83925e-07i,+0+0j,+0+0j,+43528.5+21819.9i,+93808-252122i,+43499.3+21764.3i,-0+0i,+0+0j,-0+0i,+93642.3-252442i,-0+0i,+92546.5-252761i,+11352.1-21429.1i,+81029.5-231612i,+1920.04+0.0446073i,+76844+54904.7i,-20311.4-248847i,-27958.8-249148i,-28109.6-249456i,-32700.7-249758i,+363821-33840.7i,+348881-34612.7i,+21482.1+10744.4i,+369571+299486i,-2.26558e-08-1.02228e-08i,-0+0i,+368393+297262i,+0+0j,-2.39084e-06+9.78112e-06i,+14813.8+3.82872i,+169705-12311.5i,+109364+254380i,+10702.1+2.12628i,+6640.89+0.904259i,+5710.34+0.348045i,-0+0i,+169411-12412.4i,+0+0j,+0+0j,+60981.6-205475i,+55372.6+298375i,+60816.5-205762i,+45432.7+22730.6i,+15341.8-228565i,+15184.4-229012i,+15017.2-229468i,-0+0i,+77.8216-229703i,+0+0j,+54377.5+296117i,+4081.09-55050i,+49645.6+349695i,-0+0i,+49123+348471i,-0+0i,+48662.5+347564i,+48272+346659i,-2.41818e-06-3.97667e-06i,-0+0i,+4059.45+0.221273i,+1.90441e-06-1.62532e-05i,+1.91283e-06-1.6187e-05i,+1.89627e-06-1.61813e-05i,-0+0i,+105125+253634i,+0+0j,+0+0j,-0+0i,+105010+253187i,+0+0j,+71278.1+824.45i,+33604.1+251837i,+63169.5+734.62i,+8491.61+1.6354i,+54631.3+685.83i,+45235.1+22404.3i,+480.003+0.00296339i,+142944-232970i,+704922-349813i,+368296-32264i,+294723+243408i,+105225+254019i
2016-04-01 13:00:00 PDT,-0+0i,-0+0i,+716610-355804i,+0+0j,+0+0j,+0+0j,+712892-360648i,-0+0i,+65471.7+419.455i,+645479-364290i,+52262.8+380.023i,-0+0i,+264059-336151i,+42572.2+21298i,+9643.09-20966.1i,+0+0j,+0+0j,+33257.6-42613.4i,+81445-63318.8i,+18948.3-42643i,-0+0i,+81416.2-63405.6i,-0+0i,+81385.2-63493.7i,+18882.8-42711.7i,+62465.8-20877.9i,+18872.9-42737.4i,-0+0i,+18864.6-42756.8i,+43591.8+21813.5i,+7.66754e-06-8.85899e-06i,+7.66003e-06-8.88313e-06i,+0+0j,+0+0j,+43513.7+21812.4i,+97819.1-251912i,+43484.4+21756.8i,-0+0i,+0+0j,-0+0i,+97651.5-252234i,-0+0i,+96343.7-252555i,+11576.9-21430.4i,+84600.8-231408i,+2160.06+0.0564796i,+76811+54881.1i,-16679.1-248614i,-25252.9-248914i,-25403.3-249221i,-30274.1-249522i,+373002-33859.9i,+357605-34666.2i,+21471.1+10738.9i,+375266+299507i,+1.36977e-09+3.40196e-09i,-0+0i,+374067+297257i,+0+0j,+1.09572e-05+8.40228e-08i,+18326.1+6.14013i,+169996-12094i,+110440+254123i,+13943.5+3.53323i,+8411.44+1.45759i,+7270.56+0.564631i,-0+0i,+169703-12193i,+0+0j,+0+0j,+61401.8-205365i,+55335+298494i,+61239.1-205652i,+45407.7+22718.1i,+15789.8-228443i,+15634.2-228891i,+15467.4-229350i,-0+0i,+77.7508-229585i,+0+0j,+54333.5+296235i,+5551.17-55017.5i,+48127.4+349780i,-0+0i,+47604.6+348558i,-0+0i,+47143.5+347652i,+46752.6+346747i,+8.3575e-07-6.61099e-06i,-0+0i,+5529.3+0.347399i,+1.01161e-05+1.17855e-06i,+1.0126e-05+1.21802e-06i,+1.00987e-05+1.20276e-06i,-0+0i,+104729+253378i,+0+0j,+0+0j,-0+0i,+104614+252931i,+0+0j,+73314.4+815.706i,+31174+251589i,+63610.6+720.617i,+8821.74+1.76619i,+54741.6+671.005i,+45365.6+22389.7i,+640.005+0.00527178i,+147756-233238i,+724171-349235i,+378949-32200.4i,+299617+243384i,+104829+253762i
2016-04-01 14:00:00 PDT,-0+0i,-0+0i,+752957-355152i,+0+0j,+0+0j,+0+0j,+748621-360395i,-0+0i,+68729.6+409.137i,+677840-364289i,+52216.6+365.659i,-0+0i,+274307-336600i,+42545.5+21284.6i,+9623.7-20967i,+0+0j,+0+0j,+33625.8-42620.6i,+81320.6-63346.2i,+18896.2-42650.5i,-0+0i,+81295.2-63434.3i,-0+0i,+81267.1-63523.6i,+18833.5-42722.4i,+62398.8-20897.8i,+18823.7-42748.2i,-0+0i,+18815.4-42767.7i,+43574.5+21804.6i,-3.30477e-06-3.47429e-06i,-3.30444e-06-3.44522e-06i,+0+0j,+0+0j,+43484.6+21797.6i,+106160-251463i,+43455.2+21742.2i,-0+0i,+0+0j,-0+0i,+105988-251791i,-0+0i,+104216-252118i,+12036.2-21433.3i,+92011.3-230972i,+2650.08+0.0850817i,+76745.2+54834.1i,-9146.13-248121i,-19660.4-248420i,-19809.7-248726i,-25159.8-249023i,+391677-33905.1i,+375802-34783.3i,+21448.8+10727.7i,+386884+299630i,-4.63491e-09-6.83767e-09i,-0+0i,+385640+297325i,+0+0j,-5.85284e-06+3.76912e-06i,+26153.2+13.3678i,+170439-11561.3i,+112818+253581i,+21297.9+8.05232i,+12423.2+3.20338i,+10821.2+1.25272i,-0+0i,+170150-11655.8i,+0+0j,+0+0j,+61787.6-205145i,+55580.5+298832i,+61631-205431i,+45356.8+22692.6i,+16233.6-228198i,+16082.8-228649i,+15917.4-229115i,-0+0i,+77.6233-229351i,+0+0j,+54565+296570i,+8891.48-54950.5i,+45009.8+350046i,-0+0i,+44486.4+348828i,-0+0i,+44024+347925i,+43632.3+347019i,-1.26414e-05-2.97919e-06i,-0+0i,+8869.05+0.731783i,+1.03181e-05+7.81673e-07i,+1.03205e-05+7.41248e-07i,+1.03195e-05+7.47232e-07i,-0+0i,+103766+252839i,+0+0j,+0+0j,-0+0i,+103649+252390i,+0+0j,+77475.4+798.14i,+26053+251067i,+64300.5+691.828i,+9251.92+1.94525i,+55000.2+640.929i,+45665.6+22360i,+1000.01+0.0128882i,+157761-233782i,+763669-347996i,+400934-32068.4i,+310299+243412i,+103866+253217i
2016-04-01 15:00:00 PDT,-0+0i,-0+0i,+884438-352136i,+0+0j,+0+0j,+0+0j,+878168-358970i,-0+0i,+80734.3+372.864i,+794934-363874i,+52044.9+312.744i,-0+0i,+311531-338186i,+42444.8+21234.2i,+9552.91-20969.4i,+0+0j,+0+0j,+35954.7-42641.7i,+80852.8-63441.4i,+18703.4-42673.3i,-0+0i,+80839.3-63534.6i,-0+0i,+80821.1-63628i,+18650.7-42756.4i,+62141.5-20970.3i,+18641.2-42782.8i,-0+0i,+18632.9-42802.2i,+43501.4+21767.3i,+1.07529e-05-7.86421e-06i,+1.07488e-05-7.8354e-06i,+0+0j,+0+0j,+43370.5+21740i,+135469-249810i,+43340.7+21684.9i,-0+0i,+0+0j,-0+0i,+135279-250161i,-0+0i,+132178-250512i,+13413.7-21441.7i,+118585-229378i,+4140.21+0.208322i,+76491.6+54652.8i,+17886.6-246316i,+352.037-246612i,+205.108-246917i,-6864.77-247205i,+459518-33883.6i,+440852-35050.6i,+21363.9+10685i,+428511+299850i,+1.70458e-08+3.84708e-08i,-0+0i,+427102+297329i,+0+0j,-8.00603e-06+5.76643e-06i,+52888.4+59.2005i,+172241-9927.62i,+120900+251622i,+46356.9+37.3655i,+25964.1+14.2812i,+23045.6+5.71448i,-0+0i,+171962-10006i,+0+0j,+0+0j,+64251.7-204288i,+55609.4+299687i,+64114.5-204572i,+45161.3+22594.8i,+18915.8-227242i,+18780-227705i,+18618.5-228192i,-0+0i,+77.1441-228429i,+0+0j,+54546.5+297416i,+20393.7-54696.1i,+33459.2+350637i,-0+0i,+32933.8+349431i,-0+0i,+32466.5+348537i,+32071.7+347628i,-9.479e-06-1.31541e-05i,-0+0i,+20369.2+3.10237i,+3.88018e-06-6.34423e-06i,+3.87206e-06-6.3354e-06i,+3.86752e-06-6.31673e-06i,-0+0i,+100340+250889i,+0+0j,+0+0j,-0+0i,+100218+250437i,+0+0j,+92367.5+737.569i,+7746.08+249176i,+66927.7+585.788i,+11252.9+2.89229i,+55622.3+529.596i,+46439.3+22247.7i,+2000.05+0.0518188i,+193113-235738i,+906334-342635i,+480285-31328.6i,+347034+243240i,+100441+251249i
2016-04-01 16:00:00 PDT,-0+0i,-0+0i,+1.04788e+06-346062i,+0+0j,+0+0j,+0+0j,+1.03813e+06-355165i,-0+0i,+94220.7+312.217i,+940611-361489i,+51759.5+229.994i,-0+0i,+358552-339973i,+42258.6+21141.1i,+9453.99-20958.7i,+0+0j,+0+0j,+39879-42622.6i,+80091.7-63523.4i,+18424.6-42657.5i,-0+0i,+80092.2-63622.4i,-0+0i,+80085.6-63720.6i,+18384.5-42754.4i,+61679.6-21067.7i,+18375.6-42781.6i,-0+0i,+18367.3-42801.1i,+43307+21669.2i,-5.85333e-06-1.19439e-05i,-5.86663e-06-1.1976e-05i,+0+0j,+0+0j,+43122.4+21614.8i,+172434-247997i,+43091.8+21560.4i,-0+0i,+0+0j,-0+0i,+172202-248386i,-0+0i,+166708-248773i,+15901.4-21426.8i,+150599-227684i,+6790.56+0.56412i,+75970.1+54280.2i,+50714.5-244255i,+24590-244548i,+24439.5-244850i,+14361.5-245124i,+544401-32581.3i,+521058-34183.8i,+21200.4+10603i,+477732+296393i,+1.95273e-09+1.26197e-08i,-0+0i,+476057+293529i,+0+0j,+3.87999e-06+1.72809e-05i,+85125.2+157.285i,+170551-11980.4i,+131124+249298i,+75658.9+100.202i,+42427.6+38.1162i,+37144.8+15.005i,-0+0i,+170293-12028.4i,+0+0j,+0+0j,+68308.3-202503i,+50882.7+295806i,+68191.6-202783i,+44762.4+22395.2i,+23395.2-225256i,+23276.4-225727i,+23119.6-226236i,-0+0i,+75.8707-226473i,+0+0j,+49793.9+293586i,+33198.4-54210.9i,+15887+346361i,-0+0i,+15368.6+345193i,-0+0i,+14902.7+344327i,+14512.2+343434i,+8.23048e-06-1.98433e-06i,-0+0i,+33170.7+8.08952i,-3.49558e-06-6.48724e-06i,-3.4956e-06-6.4954e-06i,-3.50706e-06-6.48581e-06i,-0+0i,+97760.6+248583i,+0+0j,+0+0j,-0+0i,+97634.8+248134i,+0+0j,+111000+638.074i,-13450.1+246985i,+71492.1+416.929i,+14654.9+4.95327i,+56776.6+350.576i,+47810.1+22034.7i,+3800.19+0.188915i,+236865-238096i,+1.08195e+06-333240i,+577966-28949.2i,+387911+239067i,+97861.1+248918i
2016-04-01 17:00:00 PDT,-0+0i,-0+0i,+1.1496e+06-341529i,+0+0j,+0+0j,+0+0j,+1.13736e+06-352244i,-0+0i,+102345+279.8i,+1.03121e+06-359582i,+51599+182.569i,-0+0i,+388310-340789i,+42158.4+21091i,+9393.91-20955.8i,+0+0j,+0+0j,+42232.9-42622.4i,+79654-63585i,+18256.4-42659.4i,-0+0i,+79663.2-63687.7i,-0+0i,+79663.8-63789i,+18224.2-42765i,+61422.8-21127.4i,+18215.7-42792.9i,-0+0i,+18207.4-42812.4i,+43211.5+21621i,-8.82234e-06-1.18031e-06i,-8.82433e-06-1.14707e-06i,+0+0j,+0+0j,+42994.3+21550.1i,+196104-246702i,+42963.2+21496i,-0+0i,+0+0j,-0+0i,+195842-247125i,-0+0i,+188557-247545i,+17743.4-21423.8i,+170586-226484i,+8730.92+0.935815i,+75697.5+54085.4i,+71146.3-242859i,+39801.4-243159i,+39648-243465i,+27483.3-243736i,+596855-31888i,+570694-33792.6i,+21114.7+10560i,+509193+295387i,+1.69087e-08+6.86459e-09i,-0+0i,+507359+292303i,+0+0j,+1.3863e-05-1.9487e-06i,+105319+242.524i,+170242-12158.2i,+137502+247833i,+93802.7+154.734i,+52778.1+58.8216i,+45722.6+22.8649i,-0+0i,+169996-12189.8i,+0+0j,+0+0j,+70777.2-201599i,+48707.2+294739i,+70673.4-201878i,+44559.2+22293.6i,+26082.3-224251i,+25973.9-224730i,+25820.5-225255i,-0+0i,+75.2546-225492i,+0+0j,+47592.8+292532i,+40962.4-53955.9i,+5906.8+345063i,-0+0i,+5386.94+343907i,-0+0i,+4917.35+343049i,+4525.63+342157i,+1.77716e-06-8.32054e-06i,-0+0i,+40932.6+12.1555i,+1.11554e-05-3.59495e-06i,+1.11487e-05-3.65141e-06i,+1.11401e-05-3.63861e-06i,-0+0i,+96374.5+247121i,+0+0j,+0+0j,-0+0i,+96246.3+246670i,+0+0j,+122721+596.677i,-26547.3+245566i,+74682.6+325.11i,+16836.5+6.57163i,+57779.6+251.195i,+48943.4+21922.7i,+5160.35+0.350176i,+264659-239299i,+1.19104e+06-326346i,+638192-27501.1i,+414252+237600i,+96474.9+247444i
2016-04-01 18:00:00 PDT,-0+0i,-0+0i,+1.25789e+06-335925i,+0+0j,+0+0j,+0+0j,+1.24263e+06-348525i,-0+0i,+110291+250.721i,+1.12799e+06-357052i,+51449.5+137.583i,-0+0i,+421258-341275i,+42068.8+21046.2i,+9334.07-20955.8i,+0+0j,+0+0j,+45424.5-42630.9i,+79227.4-63658.2i,+18085.1-42670.9i,-0+0i,+79245.4-63764.9i,-0+0i,+79253.4-63869.3i,+18061.3-42785.8i,+61180-21189i,+18053.4-42814.6i,-0+0i,+18045.1-42834i,+43132.4+21581i,+7.90347e-06-5.85723e-06i,+7.89353e-06-5.86292e-06i,+0+0j,+0+0j,+42882.8+21493.4i,+222161-245204i,+42851+21439.8i,-0+0i,+0+0j,-0+0i,+221864-245674i,-0+0i,+212263-246141i,+20163.4-21425.9i,+191849-225114i,+11251.5+1.55896i,+75456.8+53913.3i,+92823.3-241312i,+56036.2-241625i,+55879.7-241940i,+40986.9-242216i,+652799-31239.1i,+622931-33493i,+21040.1+10522.4i,+543742+295350i,+1.03697e-08-3.50311e-09i,-0+0i,+541757+292022i,+0+0j,+1.0116e-06-2.19182e-06i,+126093+347.888i,+170716-11400.3i,+144056+246306i,+111899+221.551i,+63483.4+84.4758i,+54131.8+32.2085i,-0+0i,+170478-11416.8i,+0+0j,+0+0j,+74183.1-200837i,+46372.9+294790i,+74090.5-201118i,+44388.2+22208i,+29672.3-223408i,+29573.1-223897i,+29422.3-224440i,-0+0i,+74.7464-224680i,+0+0j,+45223+292578i,+48317-53733.8i,-3838.29+344887i,-0+0i,-4364.68+343734i,-0+0i,-4842.25+342875i,-5238.91+341978i,-7.55005e-06-4.12107e-07i,-0+0i,+48285.3+16.5252i,+3.74431e-06+8.76222e-06i,+3.73803e-06+8.75576e-06i,+3.73843e-06+8.75664e-06i,-0+0i,+95573.6+245592i,+0+0j,+0+0j,-0+0i,+95443.4+245134i,+0+0j,+135408+574.642i,-40026+244048i,+78999.9+242.693i,+19718.9+9.05596i,+59206.3+157.944i,+50502.5+21824.2i,+6920.62+0.632785i,+294797-240237i,+1.30593e+06-318013i,+701396-25988.9i,+442148+237054i,+95672.8+245905i
2016-04-01 19:00:00 PDT,-0+0i,-0+0i,+1.34271e+06-330612i,+0+0j,+0+0j,+0+0j,+1.32466e+06-344819i,-0+0i,+115724+224.313i,+1.20411e+06-354351i,+51320.5+99.5312i,-0+0i,+448502-341379i,+41989.2+21006.3i,+9284.91-20953.8i,+0+0j,+0+0j,+49481.9-42628.2i,+78848.7-63711.5i,+17938.5-42672.2i,-0+0i,+78872.5-63820.7i,-0+0i,+78885.4-63927.3i,+17921.6-42793.9i,+60955.3-21240.2i,+17914.2-42823.6i,-0+0i,+17905.9-42843.1i,+43047.7+21538.4i,-5.79859e-07-1.42534e-06i,-5.4357e-07-1.3797e-06i,+0+0j,+0+0j,+42774.8+21438.6i,+242902-244062i,+42742.3+21385.5i,-0+0i,+0+0j,-0+0i,+242571-244578i,-0+0i,+230784-245090i,+22528.7-21423.3i,+207983-224097i,+13702.3+2.31883i,+75231+53752i,+109329-240138i,+68453.4-240465i,+68292.1-240789i,+50550.7-241071i,+697041-30448.6i,+662609-33007.6i,+20973.9+10489.1i,+570663+294713i,+6.57143e-09-2.19454e-09i,-0+0i,+568557+291173i,+0+0j,+5.83755e-06+8.66629e-06i,+140383+428.667i,+170651-11531.3i,+148748+245177i,+123418+271.519i,+70822.8+104.14i,+59308.3+38.8266i,-0+0i,+170417-11535.9i,+0+0j,+0+0j,+78523.2-200132i,+42465.5+293981i,+78434.4-200416i,+44233.8+22130.7i,+34171.1-222631i,+34075.7-223127i,+33924.9-223684i,-0+0i,+74.2214-223925i,+0+0j,+41294.2+291771i,+52469.9-53540.4i,-11931.6+343892i,-0+0i,-12462.3+342739i,-0+0i,-12945.6+341881i,-13345.8+340980i,+5.3673e-06+9.0989e-06i,-0+0i,+52437+19.4143i,+5.60362e-06-9.88671e-07i,+5.60714e-06-9.51631e-07i,+5.58828e-06-9.49975e-07i,-0+0i,+96115.9+244458i,+0+0j,+0+0j,-0+0i,+95985.3+243993i,+0+0j,+145493+561.164i,-49562.8+242916i,+83683.7+176.542i,+23042.3+12.4164i,+60557.3+78.8531i,+51964.4+21737i,+8560.96+0.972362i,+318278-240755i,+1.39422e+06-310438i,+749691-24474.1i,+461133+235964i,+96213.1+244766i
2016-04-01 20:00:00 PDT,-0+0i,-0+0i,+1.29847e+06-332486i,+0+0j,+0+0j,+0+0j,+1.2804e+06-345869i,-0+0i,+110446+229.129i,+1.16536e+06-354856i,+51373.6+115.543i,-0+0i,+437652-340745i,+42020.5+21022i,+9306.63-20953.5i,+0+0j,+0+0j,+49536.7-42620.1i,+78976.4-63684i,+17993.3-42664.1i,-0+0i,+78995.8-63791.1i,-0+0i,+79005-63896i,+17973.4-42781.6i,+61021.1-21220.3i,+17966-42811.4i,-0+0i,+17957.8-42830.9i,+43061.1+21545.4i,+9.85176e-07-6.52141e-07i,+9.66469e-07-6.22026e-07i,+0+0j,+0+0j,+42803+21452.6i,+234434-244811i,+42770.3+21399.5i,-0+0i,+0+0j,-0+0i,+234111-245313i,-0+0i,+221983-245811i,+22910.5-21420.2i,+198807-224808i,+14052.4+2.43686i,+75297.2+53799.2i,+100035-240898i,+61641.3-241217i,+61479.7-241536i,+43460.8-241816i,+674792-30549.9i,+640439-32963.9i,+20999.6+10501.9i,+557108+294095i,+1.34522e-08+2.30909e-08i,-0+0i,+555067+290647i,+0+0j,+7.16275e-06+1.12826e-05i,+130832+367.3i,+169317-12599.2i,+146088+245939i,+113608+230.994i,+66158.2+89.3821i,+54302.1+32.4878i,-0+0i,+169079-12608.9i,+0+0j,+0+0j,+78603.3-200379i,+40844.6+293141i,+78505.3-200667i,+44292.2+22160i,+34182-222911i,+34078.9-223404i,+33925-223954i,-0+0i,+74.2598-224195i,+0+0j,+39693.2+290938i,+47346.3-53622.1i,-8395.14+343144i,-0+0i,-8922.22+341991i,-0+0i,-9401.42+341133i,-9799.79+340238i,-1.54138e-06-1.81908e-06i,-0+0i,+47314.9+16.0373i,+1.07918e-05-4.6845e-06i,+1.08005e-05-4.66097e-06i,+1.07856e-05-4.65005e-06i,-0+0i,+98583.6+245216i,+0+0j,+0+0j,-0+0i,+98455.6+244751i,+0+0j,+140881+569.929i,-42486.4+243660i,+84215.2+209.795i,+23182.4+12.5489i,+60947.7+111.018i,+52310.2+21770.3i,+8841.02+1.03547i,+307206-239962i,+1.3441e+06-313613i,+722030-24980.5i,+447546+235546i,+98679.4+245533i
2016-04-01 21:00:00 PDT,-0+0i,-0+0i,+1.15405e+06-340096i,+0+0j,+0+0j,+0+0j,+1.1392e+06-350921i,-0+0i,+99004.5+268.91i,+1.03636e+06-358287i,+51584.6+177.901i,-0+0i,+394259-339903i,+42151.1+21087.3i,+9386.82-20956.8i,+0+0j,+0+0j,+44302.5-42620i,+79567.6-63596.9i,+18224.1-42658.9i,-0+0i,+79575.9-63699.2i,-0+0i,+79575.9-63800.1i,+18193-42764.5i,+61366.5-21139.1i,+18185-42793.3i,-0+0i,+18176.8-42812.8i,+43185.9+21608.4i,+4.29351e-08-8.8917e-06i,+2.27446e-08-8.91566e-06i,+0+0j,+0+0j,+42969.2+21536.8i,+201480-246779i,+42937.4+21483.1i,-0+0i,+0+0j,-0+0i,+201204-247220i,-0+0i,+191305-247656i,+20473.8-21422.7i,+170596-226606i,+11481.6+1.61945i,+75650.6+54051.8i,+71240.2-242943i,+40224.2-243245i,+40067.6-243552i,+25259.9-243827i,+599831-31606.7i,+571464-33540.5i,+21109.3+10557.1i,+511766+294789i,-1.29941e-08+8.78105e-10i,-0+0i,+509939+291673i,+0+0j,+2.09283e-05+1.82794e-07i,+104921+234.037i,+168202-12966.8i,+138060+247981i,+90815+146.89i,+53066.2+56.9703i,+43410.3+20.6141i,-0+0i,+167955-12995.7i,+0+0j,+0+0j,+73034.5-201539i,+44492.5+293897i,+72924.1-201826i,+44549.3+22288.6i,+28341.7-224196i,+28227.7-224679i,+28071.9-225207i,-0+0i,+75.0509-225446i,+0+0j,+43381.1+291691i,+37690.6-53947.5i,+4972.67+344216i,-0+0i,+4451.47+343057i,-0+0i,+3980.59+342195i,+3586.61+341305i,-7.58093e-06-1.01172e-05i,-0+0i,+37661.6+10.5875i,+4.53759e-06+2.37005e-06i,+4.5355e-06+2.37193e-06i,+4.51445e-06+2.39064e-06i,-0+0i,+100212+247256i,+0+0j,+0+0j,-0+0i,+100087+246797i,+0+0j,+124333+603.647i,-24323+245674i,+78958.1+324.795i,+19108.4+8.46921i,+59775.5+241.02i,+50960.5+21913.6i,+7200.67+0.682255i,+268540-238492i,+1.19037e+06-324922i,+637340-27215.9i,+412374+236947i,+100310+247589i
